Date,Rainfall_S_Piero,Rainfall_Mangona,Rainfall_S_Agata,Rainfall_Cavallina,Rainfall_Le_Croci,Temperature_Le_Croci,Lake_Level,Flow_Rate
16/05/2006,0,0,0,0,0,18.5,252.04,4.5
17/05/2006,0,0,0,0,0,18.6,252.03,3
18/05/2006,0,0,0,0,0,17.8,252.03,2.4
19/05/2006,0,0,0,0,0,20.65,252.02,2.1
20/05/2006,0,0,0,0,0,19.3,252.01,0.6
21/05/2006,0,0,0,0,0,17.4,252,0.6
22/05/2006,0,0,0,0,0,17.7,252,0.6
23/05/2006,2.4,6.2,2.6,1.4,3.6,21.8,252,0.6
24/05/2006,10,8.6,10,6.6,9.8,18.35,252.01,0.6
25/05/2006,0,0.2,0,0,0,16,252,0.6
26/05/2006,0,0,0,0,0,16.75,252,0.6
27/05/2006,0,0,0,0,0,19.35,251.99,0.6
28/05/2006,0,0,0,0,0,19.6,251.99,0.6
29/05/2006,0,0,0,0,0,19.9,251.98,0.6
30/05/2006,29,19.8,25.6,23.2,23.4,17.3,251.98,0.6
31/05/2006,0.4,0.2,0,0.2,0.8,8.65,252,0.6
01/06/2006,2.2,2.8,9,1.6,5.2,13.1,252,0.6
02/06/2006,0,0.6,1.4,0,0,13.55,251.99,0.6
03/06/2006,0,0.2,0.8,0,1,12.75,251.99,0.6
04/06/2006,0,0,0,0,0,13.45,251.98,0.6
05/06/2006,0.8,2.6,3,1.4,0.8,16.25,251.98,0.6
06/06/2006,10.4,5.4,27,0,6.8,16.3,251.98,0.6
07/06/2006,0,0,0,0,0,14.9,251.97,0.6
08/06/2006,0,0,0,0,0,14.6,251.97,0.6
09/06/2006,0,0,0,0,0,16.15,251.97,0.6
10/06/2006,0,0,0,0,0,15.45,251.96,0.6
11/06/2006,3.4,1.2,0.8,0.2,1.8,18.2,251.95,0.6
12/06/2006,0,0,0,0,0,18.25,251.94,0.6
13/06/2006,0,0,0,0,0,17.8,251.93,0.6
14/06/2006,0,0,0,0,0,20.35,251.92,0.6
15/06/2006,0,0,0,0,0,19.5,251.91,0.6
16/06/2006,0,0,0,0,0,20.75,251.9,0.6
17/06/2006,0,0,0,0,0,20.5,251.89,0.6
18/06/2006,0,0,0,0,0,22.2,251.88,0.6
19/06/2006,0,0,0,0,0,23.5,251.87,0.6
20/06/2006,0,0,0,0,0,23.1,251.86,0.6
21/06/2006,0,0,0,0,0,25,251.85,0.6
22/06/2006,0,0,0,0,0,24.05,251.85,0.6
23/06/2006,0,0,0,0,0,24,251.84,0.6
24/06/2006,0,0,0,0,0,24,251.83,0.6
25/06/2006,0,0,0,0,0,26.75,251.82,0.6
26/06/2006,0,0,0,0,0,26.45,251.81,0.6
27/06/2006,0,0,0,0,0,26.05,251.8,0.6
28/06/2006,0,0,0,0,0,25.75,251.79,0.6
29/06/2006,0,0.2,0,0,0,27.2,251.78,0.6
30/06/2006,0,0,0,0,0,25,251.75,1
01/07/2006,0,0,0,0,0,25.9,251.73,1
02/07/2006,0,0,0,0,0,26.6,251.71,1
03/07/2006,0,0,0,0,0,24.85,251.69,1.5
04/07/2006,0,0,0,0,0,24.35,251.67,1.5
05/07/2006,0,0,0,0,0,24.2,251.64,1.5
06/07/2006,0.2,0.8,0,0,0,25.05,251.61,1.5
07/07/2006,8.8,10.4,9.4,12.6,13,22.95,251.58,1.5
08/07/2006,0,0,0,0,0,21.4,251.57,1.5
09/07/2006,0,0,0,0,0,22.85,251.55,1.5
10/07/2006,0,0,0,0,0,24.7,251.52,1.5
11/07/2006,0,0,0,0,0,26.8,251.49,1.5
12/07/2006,0,0,0,0,0,27.35,251.46,1.5
13/07/2006,0,0,0,0,0,25.85,251.43,2
14/07/2006,0,0,0,0,0,27.4,251.39,2
15/07/2006,0,0,0,0,0,27.65,251.35,2
16/07/2006,0,0,0,0,0,26.8,251.31,2
17/07/2006,0,0,0,0,0,24.55,251.27,2
18/07/2006,0,0,0,0,0,24.9,251.22,2.5
19/07/2006,0,0,0,0,0,24,251.18,2.5
20/07/2006,0,0,0,0,0,26,251.13,2.5
21/07/2006,0,0,0,0,0,27.7,251.08,2.5
22/07/2006,0,0,0,0,0,27.25,251.03,2.5
23/07/2006,0,3.8,0,0,0,27.15,250.99,2.5
24/07/2006,0,26.2,0,0,12,27.85,250.94,2.5
25/07/2006,1.6,1.6,0,3.4,1.2,27.05,250.9,2.5
26/07/2006,0,2.4,0,0,0,27,250.86,2.5
27/07/2006,0,0.6,0.4,0,0,26.95,250.82,2.5
28/07/2006,0,0,0,0,0,26.25,250.78,2.5
29/07/2006,0,0.2,0.4,0,0,25.6,250.71,2.5
30/07/2006,0,0,0,0,0,23.8,250.67,2.5
31/07/2006,0,0,0,0,0,26.05,250.63,2.5
01/08/2006,0,0,0,0,0,27.4,250.57,2.5
02/08/2006,0,3.6,0.8,0,0,25.1,250.53,2.5
03/08/2006,0.6,1.6,4,2.6,1,23.8,250.48,2.5
04/08/2006,0,0,0,0,0,19.2,250.43,2.5
05/08/2006,0,0,0,0,0,19.05,250.38,2.5
06/08/2006,0,0.2,0,0,0,20.55,250.33,2.5
07/08/2006,0,0,0,0,0,22.25,250.27,2.5
08/08/2006,0,0,0.2,0,0.2,21.95,250.22,2.5
09/08/2006,2.4,0,2.4,0.6,0.4,21,250.18,2.5
10/08/2006,0,0,0,0,1.8,22.05,250.13,2.5
11/08/2006,0,1.6,0.8,0.4,0.4,21,250.08,2.5
12/08/2006,26.8,108.6,34.8,20.4,25.2,20.05,250.05,2.5
13/08/2006,0.4,0,0.2,0,0.2,15.25,250.07,2.5
14/08/2006,8.6,9.6,12.2,11,16,19.45,250.03,2.5
15/08/2006,0,0,0,0,0,18.05,250.01,2.5
16/08/2006,0,0,0,0,0,20.25,249.97,2.5
17/08/2006,2.6,0.4,2.8,0,0,22.7,249.92,2.5
18/08/2006,0.2,0.4,0,0,0,24.5,249.87,2.5
19/08/2006,1.4,0.4,1.6,0.2,0.4,22.15,249.83,2.5
20/08/2006,0.2,0,0,0,0.6,24.35,249.79,2.5
21/08/2006,0,0,0,0,0.2,20.9,249.75,2.5
22/08/2006,0,0,0,0,0,21.5,249.71,2.5
23/08/2006,0,0,0,0,0,21.75,249.67,2.5
24/08/2006,0,0,0,0,0,21.65,249.62,2.5
25/08/2006,0.2,0,0.6,0.6,0,21.65,249.57,2.5
26/08/2006,0,0,0,0,0,20.3,249.53,2.5
27/08/2006,4.2,6.6,4.2,2.8,6.2,20.5,249.48,2.5
28/08/2006,0.2,0,0,0,0,19.6,249.43,2.5
29/08/2006,0,0.8,1.2,0,0.8,21,249.38,2.5
30/08/2006,10.2,2.8,5.2,3.8,11.6,19.05,249.36,2.5
31/08/2006,0,0,0,0,0,16.75,249.31,2.5
01/09/2006,0,0,0,0,0,19.25,249.26,2.5
02/09/2006,0,0,0,0,0,19.5,249.21,2.5
03/09/2006,0,0,0,0,0,19.85,249.16,2.5
04/09/2006,0,0,0,0,0,21,249.11,2.5
05/09/2006,0,0,0,0,0,21.85,249.06,2.5
06/09/2006,0,0,0,0,0,23.5,249.01,3
07/09/2006,0,0,0,0,0,25.25,248.96,3
08/09/2006,1.4,5.4,2.4,0,0,24.45,248.9,3
09/09/2006,0,0,0.2,0,0,24.65,248.85,3
10/09/2006,0,0,0,0,0,21.15,248.78,3
11/09/2006,0,0,0,0,0,21.75,248.71,3
12/09/2006,0,0,0,0,0,23.1,248.65,3.5
13/09/2006,0.2,0,0,0,0,22.1,248.6,3.5
14/09/2006,9.2,20.8,7,9.4,17,22.55,248.52,3.5
15/09/2006,23.4,37,21.8,14.2,23.2,20.3,248.5,3.5
16/09/2006,26.4,59.4,53.8,26.4,33.6,20.55,248.46,3.5
17/09/2006,6.4,8.2,23.4,2.6,11.8,18.7,248.54,2.7
18/09/2006,0.2,0.2,0.6,0,0,17.1,248.55,2.4
19/09/2006,0,0.4,0.2,0,0,19.05,248.53,2.4
20/09/2006,0,0,0.2,0,0,18.9,248.49,2.4
21/09/2006,0,0,0.2,0,0,20.8,248.44,2.4
22/09/2006,0.2,0,0,0,0,20.6,248.4,2.5
23/09/2006,0,0,0,0,0,21.85,248.35,2.5
24/09/2006,0,0,0,0,0,19.85,248.3,2.5
25/09/2006,2.6,12.4,4.6,3.8,5.8,19.75,248.25,2.5
26/09/2006,1.2,2.6,4,1,4.4,16.7,248.21,2.5
27/09/2006,0,0,0,0,0,18.75,248.17,2.5
28/09/2006,0,0,0,0,0,19.5,248.12,2.5
29/09/2006,0,0,0,0,0,18.85,248.08,2.5
30/09/2006,0,0,0,0,0,17.8,248.03,2.4
01/10/2006,0,0,0,0,0,18.35,247.97,2.4
02/10/2006,0,0,0,0,0,19.8,247.94,2.4
03/10/2006,0,0,0,0,0,20,247.91,2.4
04/10/2006,0,0,0,0,0,20.4,247.87,2.4
05/10/2006,0,0,0,0,0,16.85,247.83,2.4
06/10/2006,0,0,0,0,0,17.55,247.77,2.4
07/10/2006,8.2,10.6,8.6,7.6,12,15.2,247.73,2.4
08/10/2006,0.2,0,0.2,0,0,14.15,247.7,2.4
09/10/2006,0,0,0,0,0,17.2,247.65,2.4
10/10/2006,0.2,0,0,0,0,17.65,247.6,2.4
11/10/2006,0,0,0,0,0,19,247.55,2.4
12/10/2006,0,0,0,0,0,17.2,247.5,2.4
13/10/2006,0.2,0,0,0,0,17.5,247.45,2.4
14/10/2006,0,0,0,0,0,18.35,247.41,2.4
15/10/2006,0,0,0,0,0,16.9,247.36,2.4
16/10/2006,0,0,0,0,0,15.3,247.31,2.4
17/10/2006,0,0,0,0,0,14.8,247.26,2.4
18/10/2006,0,0,0,0,0,11.35,247.21,2.4
19/10/2006,9,11.2,7,8.4,14,14.2,247.16,2.4
20/10/2006,15,15.6,14.8,15.8,11.8,14.65,247.15,2.4
21/10/2006,4.8,4.8,4,3.2,4.4,14.75,247.12,2.4
22/10/2006,0.2,0,0.2,0.2,0,15,247.08,2.4
23/10/2006,0,1.2,0,0,0.6,16.9,247.05,2.4
24/10/2006,0,0.2,0,0,0.2,17.75,247.01,2.4
25/10/2006,0,0,0,0,0,18.25,246.96,2.4
26/10/2006,0.2,0,0,0,0,16.85,246.91,2.4
27/10/2006,0.2,0,0.2,0,0,17.75,246.87,2.4
28/10/2006,0,0,0,0,0,18.35,246.81,2.4
29/10/2006,0.2,0,0,0,0,17.75,246.76,2.4
30/10/2006,0.2,0,0.2,0,0.2,16.55,246.72,2.4
31/10/2006,0,0,0,0,0,15.2,246.67,2.4
01/11/2006,1.8,2.6,1.6,0.6,2.4,14.85,246.62,2.4
02/11/2006,0,1,0.2,0,0,11.85,246.58,2.4
03/11/2006,0,0,0,0,0,6.3,246.5,2.4
04/11/2006,0,0,0,0,0,5.65,246.46,2.4
05/11/2006,0,0,0,0,0,7.25,246.41,2.4
06/11/2006,0,0,0,0,0,9.5,246.36,2.5
07/11/2006,0,0,0.2,0,0.2,11.8,246.31,1.5
08/11/2006,0.2,1.4,0,0,0,12.15,246.29,1.5
09/11/2006,0,0,0.4,0,0.8,12.35,246.27,1.5
10/11/2006,0,0,0,0,0,13.15,246.23,1.5
11/11/2006,0,0,0,0,0,10.35,246.2,1.5
12/11/2006,0.6,0,0.6,0,1,9.4,246.18,1.5
13/11/2006,0.2,0,0,0,0,11.35,246.14,1.5
14/11/2006,0,0,0,0,0,11.55,246.11,1.5
15/11/2006,2.4,14.2,3.2,2.2,4.2,11.85,246.09,1.5
16/11/2006,0.4,4.4,1.2,3.6,2.6,12.15,246.06,1.5
17/11/2006,0,0,0,0.2,0,13.3,246.04,1.5
18/11/2006,9.4,10.8,9,6.6,12.6,15.15,246.01,1.5
19/11/2006,0.2,0.2,1,0.2,1,13.6,245.99,1.5
20/11/2006,27.2,32.6,30.4,21.2,32.2,10.75,246.01,2.5
21/11/2006,32.6,34.4,26.2,21.2,43.4,10.15,246.06,2.5
22/11/2006,13.6,17.6,21,15.4,19,9.6,246.41,2.5
23/11/2006,0.2,0,0,0,0.2,6.95,246.51,2.5
24/11/2006,0.2,1.6,1.2,0.2,1,8.45,246.51,2.5
25/11/2006,0.2,0.4,0,0.2,0,11.8,246.49,2.5
26/11/2006,0,0,0,0,0,13.7,246.45,2.5
27/11/2006,0.4,0,0.2,0,0.2,11.55,246.41,2.5
28/11/2006,0.2,0.2,0.2,0.2,0.2,11.1,246.37,2.5
29/11/2006,0.2,0,0.2,0,0,10.3,246.33,2.5
30/11/2006,0.2,0,0,0,0,10.8,246.29,2.5
01/12/2006,0.2,0,0,0,0,11.35,246.24,2.5
02/12/2006,0.2,0,0,0,0.2,8.9,246.2,2.5
03/12/2006,0,2,0.2,0,0.2,7.65,246.16,2.5
04/12/2006,8.8,16.8,12.8,7,16.2,9.5,246.13,2.4
05/12/2006,0,0.6,0,0,0.4,13,246.12,2.4
06/12/2006,2,7.6,1.4,2.2,5.4,13.75,246.09,2.4
07/12/2006,7.6,10.6,7,6,5.8,13.95,246.08,2.4
08/12/2006,2.8,0.4,2,0,0.2,13.95,246.08,2.4
09/12/2006,50.4,70.6,41.6,38.2,54.6,11.65,246.48,2.4
10/12/2006,1.2,0.2,0.2,0.2,0.6,9,247.06,2.4
11/12/2006,0.2,0,0,0,0,9.35,247.14,2.4
12/12/2006,0.4,0,0.2,0,0.2,6.1,247.15,2.4
13/12/2006,0,0,0,0,0,5.6,247.14,2.4
14/12/2006,0,0,0,0,0,10,247.13,2.4
15/12/2006,0,0,0,0,0,10.1,247.1,2.4
16/12/2006,0,0,0,0,0,10.3,247.08,2.4
17/12/2006,0.2,2,0,0,0,10,247.06,2.4
18/12/2006,2.2,0.4,0.4,0,0.4,9.85,247.03,2.4
19/12/2006,0,1,0.6,0,0.2,7.85,246.99,2.4
20/12/2006,0,0,0.2,0,0,5.1,246.95,2.4
21/12/2006,1.2,3.2,3,0.2,0.4,4.4,246.91,2.4
22/12/2006,0,0,0,0,0,5.5,246.88,2.4
23/12/2006,0,0,0,0,0,5.5,246.84,2.4
24/12/2006,0,0,0,0,0,6.25,246.79,2.4
25/12/2006,0,0,0,0,0,9.75,246.77,2.4
26/12/2006,0,0,0,0,0,10.45,246.72,2.4
27/12/2006,0.2,0,0,0,0,6.4,246.68,2.4
28/12/2006,0,0,0,0,0,5.35,246.65,2.4
29/12/2006,0,0,0,0,0,4.9,246.6,2.4
30/12/2006,2,3.4,2.6,2.2,5,7.85,246.56,2.4
31/12/2006,2,2.4,1.6,2.2,5.6,8.2,246.53,2.4
01/01/2007,8.2,25.6,8.4,5,16.6,11.7,246.5,2.4
02/01/2007,1,5,2.6,2.6,5,10.25,246.58,1
03/01/2007,0,0,0,0,0,8.2,246.63,1
04/01/2007,0.2,0.8,0,0,0.4,7.15,246.65,1
05/01/2007,0.2,0,0,0,0,4.45,246.65,1
06/01/2007,0.2,0,0,0,0,7.65,246.65,1
07/01/2007,1,2.6,1.6,1,2.6,6.9,246.66,1
08/01/2007,16.2,10.8,9,8.6,28,9.5,246.67,1
09/01/2007,0.8,0.4,0.6,0,1.8,10.45,246.75,1
10/01/2007,0,0.6,0.2,0,0.2,9.05,246.78,1
11/01/2007,0,0.2,0,0,0,8.95,246.78,1
12/01/2007,0,0,0,0,0,11.8,246.78,1
13/01/2007,0.2,0.4,0.2,0,0.4,11.3,246.78,1
14/01/2007,0,0,0,0,0,8.25,246.78,1
15/01/2007,0.2,0,0,0,0,9.2,246.78,1
16/01/2007,0,1.6,0,0,0,11.15,246.78,1
17/01/2007,0,2.4,0,0,0,7.65,246.79,0.6
18/01/2007,0.2,2.6,0.8,0.2,2,10.5,246.79,0.6
19/01/2007,0,0.2,0,0,0,11.6,246.79,0.6
20/01/2007,0,0.2,0,0,0.2,11.45,246.79,0.6
21/01/2007,0.2,0.4,0.2,0,0.2,11.3,246.79,0.6
22/01/2007,0,0,0,0,0,12.7,246.8,0.6
23/01/2007,9.6,15.6,10.2,15.2,16.6,12.7,246.8,0.6
24/01/2007,13.2,27.4,11,17.6,17,8.7,246.92,0.6
25/01/2007,5.8,12,7,9.6,8,2.75,247.21,0.6
26/01/2007,0,0,0.2,0.2,0.2,4.25,247.33,1.1
27/01/2007,0,0,0,0,0,3.1,247.4,1.1
28/01/2007,0.2,0,0.2,0,0.2,4.15,247.43,1.1
29/01/2007,0,0,0,0,0,4.75,247.47,0.6
30/01/2007,0.2,0,0.2,0.2,0.2,6.15,247.48,0.6
31/01/2007,0.2,0,0,0,0,6.1,247.51,0.6
01/02/2007,0,0,0,0,0,6.05,247.54,0.6
02/02/2007,0.2,0,0,0,0,9.4,247.55,0.6
03/02/2007,0,0,0,0,0,9.25,247.56,0.6
04/02/2007,0,0,0,0,0,9.55,247.58,0.6
05/02/2007,0,0,0,0,0,6.95,247.59,0.6
06/02/2007,3,11.6,2.6,6,8.6,7.3,247.61,0.6
07/02/2007,18.2,26,14.2,12,28.6,8.8,247.64,0.6
08/02/2007,15.4,17,9,10.6,19,8.5,247.85,0.6
09/02/2007,9.6,9.4,8.8,9.2,15.4,10.1,248.16,0.6
10/02/2007,0,0,0,0,0,9.4,248.4,0.6
11/02/2007,0,0,0,0,0,10.25,248.48,0.6
12/02/2007,25.4,44.4,29,33.6,38.6,10.95,248.54,0.6
13/02/2007,0.8,0.4,0.6,0.4,0.6,9.3,249.11,0.6
14/02/2007,0,0,0,0,0,11,249.31,0.6
15/02/2007,5.4,9.6,7.2,10.6,15.6,10.1,249.41,0.6
16/02/2007,0.2,0,0,0.2,0.2,7.45,249.57,0.6
17/02/2007,0,0,0,0,0,11.25,249.66,0.6
18/02/2007,0,0,0,0,0,9.4,249.72,0.6
19/02/2007,0,0,0,0,0,7.65,249.77,0.6
20/02/2007,0,0,0,0,0,9.2,249.82,0.6
21/02/2007,4.8,1.8,4.6,1.2,2.2,10.7,249.84,0.6
22/02/2007,0,0.2,0.2,0.4,0.2,11.65,249.88,0.6
23/02/2007,0.2,0,0.2,0,0,8.45,249.9,0.6
24/02/2007,4.2,1.2,4,4.6,9.8,10.85,249.92,0.6
25/02/2007,23.2,36.6,22.6,25.4,41.8,10.4,249.96,0.6
26/02/2007,0.2,0.4,0,0.2,0,9.9,250.38,2.2
27/02/2007,0.2,0,0.2,0,0,8.7,250.48,2.2
28/02/2007,0.8,4.2,0.8,0,1.2,10.05,250.51,2.2
01/03/2007,0,0.6,0.4,0,0,9.4,250.54,2.2
02/03/2007,0,0,0.2,0,0,12,250.55,2.2
03/03/2007,0,0.4,0,0,0.4,12.9,250.56,2.2
04/03/2007,0,0,0,0,0,12.65,250.56,2.2
05/03/2007,0,0,0,0,0,14.15,250.56,2.2
06/03/2007,0,0.2,0,0,0,13.75,250.56,2.2
07/03/2007,6.4,11.4,1.8,8.8,13.2,11.6,250.56,2.2
08/03/2007,0,0,0,0,0,9.65,250.58,2.2
09/03/2007,0,0,0,0,0,11.65,250.58,2.2
10/03/2007,0.2,0,0,0,0,11.7,250.58,0.6
11/03/2007,0,0,0,0,0,11.25,250.59,0.6
12/03/2007,0,0,0,0,0,9.25,250.61,0.6
13/03/2007,0,0,0,0,0,12.6,250.62,0.6
14/03/2007,0,0,0,0,0,15.3,250.63,0.6
15/03/2007,0,0,0,0,0,15.8,250.64,0.6
16/03/2007,0,0,0,0,0,14.6,250.65,0.6
17/03/2007,0,0,0,0,0,14.1,250.65,0.6
18/03/2007,0,0,0,0,0,12.8,250.66,0.6
19/03/2007,13.6,23.2,11.4,15,19.6,13,250.68,0.6
20/03/2007,12.2,11.8,14.8,17.6,15.8,6.7,250.76,1.2
21/03/2007,3.2,15.8,8.8,2.2,4.4,3.2,250.89,2.2
22/03/2007,0,0,0,0,0,7,250.95,2.2
23/03/2007,0,0,0,0,0,6.5,250.98,2.2
24/03/2007,2,0.8,0.6,0.4,1,6.9,250.99,2.2
25/03/2007,0.6,3.2,0.6,0,1,8.25,251,2.2
26/03/2007,2.2,2.8,3.8,0,0.2,6.6,251.01,2.2
27/03/2007,1.2,4.8,7.4,0.2,1.2,7.95,251.02,2.2
28/03/2007,0,0,0,0,0,8.45,251.04,2.35
29/03/2007,4,4.6,2.8,3.4,4.4,9.7,251.07,2.45
30/03/2007,3.8,12,3,8.8,7.4,9.65,251.08,2.2
31/03/2007,0.2,0,0,0,0,7.65,251.1,2.2
01/04/2007,0,0.2,0,0,0.2,11.25,251.12,2.2
02/04/2007,0,0,0,0,0,14.25,251.14,2.2
03/04/2007,1.2,10,0.2,0,0.8,15.3,251.14,2.2
04/04/2007,0.2,0.2,0.2,0,0.8,14.3,251.14,2.2
05/04/2007,0,0,0,0,0,11.6,251.14,2.2
06/04/2007,0,0,0,0,0,12.7,251.13,2.2
07/04/2007,0,0,0,0,0,14.2,251.12,2.2
08/04/2007,0,0,0,0,0,13.2,251.11,2.2
09/04/2007,0,0,0,0,0,13.6,251.1,2.2
10/04/2007,0,0,0,0,0,13.15,251.08,1.2
11/04/2007,0,0,0,0,0,14.3,251.08,0.6
12/04/2007,0,0,0,0,0,17.75,251.09,0.6
13/04/2007,0,0,0,0,0,19.65,251.1,0.6
14/04/2007,0,0,0,0,0,20.5,251.1,0.6
15/04/2007,0,0,0,0,0,20.3,251.11,0.6
16/04/2007,0,0,0,0,0,20.45,251.11,0.6
17/04/2007,0,0,0,0,0,19,251.11,0.6
18/04/2007,0,0,0,0,0,15.8,251.11,0.6
19/04/2007,0,0,0,0,0,16.15,251.11,0.6
20/04/2007,0,0,0,0,0,17.8,251.11,0.6
21/04/2007,0,0,0,0,0,18.4,251.11,0.6
22/04/2007,0,0,0,0,0,18.55,251.11,0.6
23/04/2007,0,0,0,0,0,19.35,251.11,0.6
24/04/2007,0,0,0,0,0,18.9,251.11,0.6
25/04/2007,0,0,0,0,0,19.05,251.11,0.6
26/04/2007,0,0,0,0,0,19.45,251.11,0.6
27/04/2007,0,0,0,0,0,16.85,251.1,0.6
28/04/2007,0,0,0,0,0,16.85,251.09,0.6
29/04/2007,0,0,0,0,0,17.55,251.08,0.6
30/04/2007,1.8,7.8,6.8,1,2.4,17,251.07,0.6
01/05/2007,0.4,1,0,0.6,0.2,14.6,251.06,0.6
02/05/2007,5.6,9.8,6,10,23.4,16.65,251.05,0.6
03/05/2007,3,5.8,4.6,3.4,4.8,13.85,251.06,0.6
04/05/2007,20.2,30.6,21.6,23.2,24.8,14.85,251.07,0.6
05/05/2007,9.2,7.2,6.2,7,8.4,13.45,251.11,0.6
06/05/2007,4.6,1.4,0.2,0.2,0,14.15,251.14,0.6
07/05/2007,0,0,0,0,0.2,14,251.15,0.6
08/05/2007,0,0,0,0,0,16.95,251.15,0.6
09/05/2007,0,0,0,0,0,17.7,251.15,0.6
10/05/2007,0,0,0,0,0,17.6,251.15,0.6
11/05/2007,0,0,0,0,0,19.5,251.15,0.6
12/05/2007,0,0,0,0,0,18.85,251.14,0.6
13/05/2007,0,0,0,0,0,18.45,251.13,0.6
14/05/2007,0,0,0,0,0,20.2,251.12,0.6
15/05/2007,0,0,0,0,0,20.4,251.11,0.6
16/05/2007,0,0,0,0,0,15,251.1,0.6
17/05/2007,0,0,0,0,0,16.25,251.09,0.6
18/05/2007,0,0,0,0,0,16.15,251.08,0.6
19/05/2007,0,0,0,0,0,15.8,251.07,0.6
20/05/2007,0,0,0,0,0,18.4,251.06,0.6
21/05/2007,0,0,0,0,0,19.85,251.05,0.6
22/05/2007,0,0,0,0,0,21.2,251.04,0.6
23/05/2007,0,0,0,0,1.4,23.7,251.03,0.6
24/05/2007,0,0,0,0,0,25.2,251.02,0.6
25/05/2007,2.4,12.2,0.8,4,3.6,23.9,251.01,0.6
26/05/2007,0.2,0,0,0,0.2,23,251,0.6
27/05/2007,1.6,1.8,2,0.4,1.6,20.95,250.99,0.6
28/05/2007,19,17.8,13.4,21.4,27.8,18.4,250.98,0.6
29/05/2007,3,9.8,2.4,6,2.6,12.95,251.01,0.6
30/05/2007,0,0,0,0,0,14.6,251.01,0.6
31/05/2007,0,0.2,0.4,0,0,15.85,251,0.6
01/06/2007,10.8,8.4,9.4,11.2,13,17,250.99,0.6
02/06/2007,5.4,12.2,15,14.4,34.2,13.9,250.99,0.6
03/06/2007,0,0,0,0.2,0,15.4,251.01,0.6
04/06/2007,0,0,0,0,0,19.15,251.02,0.6
05/06/2007,1.6,1.2,1.2,0,0.6,20.95,251.01,0.6
06/06/2007,2.8,3.4,3.4,0.6,5.2,20.05,251.01,0.6
07/06/2007,23.6,10.8,15,20.6,3.2,18.05,251.01,0.6
08/06/2007,0,0.2,0,0.2,0,18.1,251.01,0.6
09/06/2007,0,0,0,0,0,20.85,251.01,0.6
10/06/2007,0,0,0,0,0,21.8,251,0.6
11/06/2007,0,0,0,0,0,21.3,251,0.6
12/06/2007,0,0.6,0,0,0,20.5,250.99,0.6
13/06/2007,0,0.2,0,0,0,20.15,250.98,0.6
14/06/2007,0,0,0,0,0,20.35,250.97,0.6
15/06/2007,1.6,0,11.6,0,1.8,23.05,250.96,0.6
16/06/2007,0,0,0,0,0,21.6,250.95,0.6
17/06/2007,0,0,0,0,0,20.2,250.94,0.6
18/06/2007,0,0,0,0,0,22,250.94,0.6
19/06/2007,0,0,0,0,0,22.7,250.93,0.6
20/06/2007,0,0,0,0,0,26.3,250.92,0.6
21/06/2007,0,0,0,0,0,25.35,250.91,0.6
22/06/2007,0,0,0,0,0,23.15,250.9,0.6
23/06/2007,0,0,0,0,0,22.5,250.88,0.6
24/06/2007,0,0,0,0,0,20,250.86,0.6
25/06/2007,0,0,0,0,0,23.65,250.85,0.6
26/06/2007,0.2,0,0,0,0,24.45,250.83,0.6
27/06/2007,0,0,0,0,0,19.3,250.81,0.6
28/06/2007,0,0,0,0,0,18.55,250.8,0.6
29/06/2007,0,0,0,0,0,18.8,250.78,0.6
30/06/2007,0,0,0,0,0,20.35,250.76,0.6
01/07/2007,0,0,0,0,0,22.1,250.75,0.6
02/07/2007,0,0,0,0,0,22.9,250.74,1.3
03/07/2007,0,0,0,0,0,20.7,250.71,2
04/07/2007,0,1,0.8,0,0,21.65,250.67,2
05/07/2007,0,0,0,0,0,18.05,250.62,2
06/07/2007,0,0,0,0,0,19.55,250.57,1.8
07/07/2007,0,0,0,0,0,21.2,250.55,1.5
08/07/2007,0,0,0,0,0,22.95,250.52,1.5
09/07/2007,0,0,0,0,0,24.5,250.49,1.5
10/07/2007,0.6,3.8,1.2,0,0,22.8,250.45,1.5
11/07/2007,0,0,0,0,0,19.25,250.42,1.5
12/07/2007,0,0,0,0,0,18.7,250.39,1.6
13/07/2007,0,0,0,0,0,20.5,250.35,2
14/07/2007,0,0,0,0,0,22.4,250.31,2
15/07/2007,0,0,0,0,0,25.2,250.27,2
16/07/2007,0,0,0,0,0,26.45,250.24,2
17/07/2007,0,0,0,0,0,26.75,250.2,2
18/07/2007,0,0,0,0,0,26.95,250.16,2
19/07/2007,0,0,0,0,0,28.05,250.12,2.2
20/07/2007,0,0,0,0,0,27.75,250.07,2.5
21/07/2007,0,0,0,0,0,26.85,250.02,2.5
22/07/2007,0,0,0,0,0,25.75,249.97,2.5
23/07/2007,0,0,0,0,0,23.3,249.93,2.5
24/07/2007,0.2,0,0,0,0.6,26.4,249.88,2.5
25/07/2007,0,0,0,0,0,21.55,249.83,2.5
26/07/2007,0,0,0,0,0,25.95,249.78,2.5
27/07/2007,0,0,0,0,0,25.65,249.73,2.5
28/07/2007,0,0,0,0,0,24.25,249.68,2.5
29/07/2007,0,0,0,0,0,24.9,249.63,2.5
30/07/2007,0,0,0,0,0,26,249.59,2.5
31/07/2007,0,0,0,0,0,24.75,249.53,2.5
01/08/2007,0,0,0,0,0,21.2,249.48,2.7
02/08/2007,0,0,0,0,0,22.8,249.42,2.8
03/08/2007,1.8,4.8,1.8,1.6,1.6,24,249.36,2.8
