date,l_ipn,r_asn,f
2006-07-16,4,4134,3
2006-07-16,4,7132,15
2006-07-16,4,8167,1
2006-07-16,4,8560,7
2006-07-16,4,8972,1
2006-07-16,4,18302,79
2006-07-16,4,31976,84
2006-07-16,4,35005,5
2006-07-16,5,205,3
2006-07-16,5,1241,2
2006-07-16,5,1785,2
2006-07-16,5,3561,1
2006-07-16,5,4134,1
2006-07-16,5,4732,2
2006-07-16,5,6724,1
2006-07-16,5,7132,1
2006-07-16,5,8070,2
2006-07-16,5,8560,2
2006-07-16,5,8972,2
2006-07-16,5,18302,2
2006-07-16,5,35005,7
2006-07-16,6,205,2
2006-07-16,6,2510,2
2006-07-16,6,3267,1
2006-07-16,6,3462,2
2006-07-16,6,3561,1
2006-07-16,6,4134,1
2006-07-16,6,4732,2
2006-07-16,6,4837,3
2006-07-16,6,6140,1
2006-07-16,6,8560,2
2006-07-16,6,8972,2
2006-07-16,6,9808,1
2006-07-16,6,9929,1
2006-07-16,6,12406,1
2006-07-16,6,18302,2
2006-07-16,6,35005,7
2006-07-16,7,3,2
2006-07-16,7,209,4
2006-07-16,7,714,5
2006-07-16,7,1239,15
2006-07-16,7,2152,16
2006-07-16,7,2642,7
2006-07-16,7,2914,2
2006-07-16,7,3356,2
2006-07-16,7,3561,12
2006-07-16,7,3699,2
2006-07-16,7,3701,3
2006-07-16,7,4513,1
2006-07-16,7,4732,2
2006-07-16,7,5691,2
2006-07-16,7,6432,3
2006-07-16,7,6517,708
2006-07-16,7,7132,6
2006-07-16,7,8070,5
2006-07-16,7,8560,2
2006-07-16,7,8972,2
2006-07-16,7,9156,9
2006-07-16,7,10532,3
2006-07-16,7,12182,4
2006-07-16,7,15169,80
2006-07-16,7,18924,48
2006-07-16,7,19024,2
2006-07-16,7,21844,24
2006-07-16,7,25751,2
2006-07-16,7,30217,11
2006-07-16,7,31976,3
2006-07-16,7,33694,2
2006-07-16,7,36856,16
2006-07-16,8,3356,2
2006-07-16,8,4755,190
2006-07-16,8,7132,1
2006-07-16,8,8075,4
2006-07-16,8,8972,2
2006-07-16,8,15169,4
2006-07-16,9,7132,2
2006-07-16,9,8070,2
2006-07-16,9,8075,2
2006-07-17,0,209,1
2006-07-17,0,701,5
2006-07-17,0,2828,1
2006-07-17,0,2907,23
2006-07-17,0,3240,1
2006-07-17,0,3267,1279
2006-07-17,0,3269,1
2006-07-17,0,3561,25
2006-07-17,0,3671,9
2006-07-17,0,3786,1
2006-07-17,0,4134,1
2006-07-17,0,4766,2
2006-07-17,0,5396,12
2006-07-17,0,5462,1
2006-07-17,0,5617,4
2006-07-17,0,6386,1
2006-07-17,0,6432,1
2006-07-17,0,6724,1
2006-07-17,0,6939,1
2006-07-17,0,6993,2
2006-07-17,0,8151,1
2006-07-17,0,8584,1
2006-07-17,0,8638,1
2006-07-17,0,8708,1
2006-07-17,0,9498,1
2006-07-17,0,9617,1
2006-07-17,0,10429,1
2006-07-17,0,10532,1
2006-07-17,0,11427,1
2006-07-17,0,11683,1
2006-07-17,0,12252,52
2006-07-17,0,13462,13
2006-07-17,0,13749,2
2006-07-17,0,13867,1
2006-07-17,0,14291,1
2006-07-17,0,15412,1
2006-07-17,0,16338,1
2006-07-17,0,16509,2
2006-07-17,0,17633,1
2006-07-17,0,19262,1
2006-07-17,0,24783,1
2006-07-17,0,26085,1
2006-07-17,0,33489,1
2006-07-17,0,33651,1
2006-07-17,0,35592,1
2006-07-17,1,8,2
2006-07-17,1,27,1
2006-07-17,1,73,5
2006-07-17,1,2828,2
2006-07-17,1,2907,8
2006-07-17,1,3265,1351
2006-07-17,1,3356,1
2006-07-17,1,3462,5
2006-07-17,1,4134,16
2006-07-17,1,4323,2
2006-07-17,1,4837,2
2006-07-17,1,5078,4
2006-07-17,1,5396,3
2006-07-17,1,5617,1
2006-07-17,1,6461,24
2006-07-17,1,6830,3
2006-07-17,1,9381,2
2006-07-17,1,9803,2
2006-07-17,1,10429,1
2006-07-17,1,11486,4
2006-07-17,1,12252,3
2006-07-17,1,12302,38
2006-07-17,1,13693,1
2006-07-17,1,13749,252
2006-07-17,1,14777,6
2006-07-17,1,14778,13
2006-07-17,1,14780,1
2006-07-17,1,15542,4
2006-07-17,1,17773,2
2006-07-17,1,17785,1
2006-07-17,1,17897,2
2006-07-17,1,21565,1
2006-07-17,1,31252,1060
2006-07-17,1,34320,1
2006-07-17,2,16,1
2006-07-17,2,47,1
2006-07-17,2,1312,82
2006-07-17,2,2907,1
2006-07-17,2,2915,7
2006-07-17,2,3267,1279
2006-07-17,2,3557,1
2006-07-17,2,3561,6
2006-07-17,2,4323,8
2006-07-17,2,4814,3
2006-07-17,2,5396,43
2006-07-17,2,5617,1
2006-07-17,2,7018,155
2006-07-17,2,7132,6
2006-07-17,2,7377,75
2006-07-17,2,10429,1
2006-07-17,2,11414,14
2006-07-17,2,12252,3
2006-07-17,2,13749,816
2006-07-17,2,19918,189
2006-07-17,2,29863,4
2006-07-17,2,30099,4
2006-07-17,2,33260,4
2006-07-17,2,36351,1
2006-07-17,3,8,2
2006-07-17,3,27,2
2006-07-17,3,2828,2
2006-07-17,3,2907,2
2006-07-17,3,3320,2
2006-07-17,3,4323,1
2006-07-17,3,4812,1
2006-07-17,3,5078,1
2006-07-17,3,5396,2
2006-07-17,3,5617,1
2006-07-17,3,9929,1
2006-07-17,3,10429,1
2006-07-17,3,12252,3
2006-07-17,3,13693,1
2006-07-17,3,13749,1
2006-07-17,3,15542,1
2006-07-17,3,31252,2
2006-07-17,4,2907,19
2006-07-17,4,3267,1279
2006-07-17,4,4323,1
2006-07-17,4,5396,82
2006-07-17,4,7132,2
2006-07-17,4,10429,1
2006-07-17,4,12252,1
2006-07-17,4,13749,154
2006-07-17,4,15542,3
2006-07-17,4,22855,14
2006-07-17,4,31252,273
2006-07-17,4,31976,84
2006-07-17,4,33651,53
2006-07-17,5,8,2
2006-07-17,5,27,1
2006-07-17,5,2828,2
2006-07-17,5,2907,2
2006-07-17,5,3320,2
2006-07-17,5,3561,1
2006-07-17,5,4323,2
2006-07-17,5,4812,2
2006-07-17,5,5078,6
2006-07-17,5,5396,1
2006-07-17,5,5617,2
2006-07-17,5,8070,2
2006-07-17,5,10429,1
2006-07-17,5,12252,2
2006-07-17,5,13693,2
2006-07-17,5,13749,1
2006-07-17,5,15542,1
2006-07-17,5,31252,1
2006-07-17,6,8,3
2006-07-17,6,27,1
2006-07-17,6,2828,2
2006-07-17,6,2907,2
2006-07-17,6,3320,4
2006-07-17,6,4323,2
2006-07-17,6,4812,1
2006-07-17,6,5078,6
2006-07-17,6,5396,1
2006-07-17,6,9929,1
2006-07-17,6,10429,1
2006-07-17,6,12252,3
2006-07-17,6,13693,4
2006-07-17,6,13749,2
2006-07-17,6,15542,1
2006-07-17,7,71,4
2006-07-17,7,209,3
2006-07-17,7,714,26
2006-07-17,7,2152,42
2006-07-17,7,3561,1
2006-07-17,7,5078,2
2006-07-17,7,6517,543
2006-07-17,7,8070,1
2006-07-17,7,8075,2
2006-07-17,7,12182,18
2006-07-17,7,12222,1
2006-07-17,7,13693,2
2006-07-17,7,15169,9
2006-07-17,7,18924,48
2006-07-17,7,19306,7
2006-07-17,7,21844,5
2006-07-17,7,25867,7
2006-07-17,7,36856,1
2006-07-17,8,3356,1
2006-07-17,8,5078,1
2006-07-17,8,8070,2
2006-07-17,8,9370,1
2006-07-17,8,9848,3428
2006-07-17,8,13693,1
2006-07-17,8,15169,4
2006-07-17,9,3561,2
2006-07-17,9,8070,2
2006-07-18,0,209,3
2006-07-18,0,701,3
2006-07-18,0,714,1
2006-07-18,0,2152,1
2006-07-18,0,2819,1
2006-07-18,0,2914,1
2006-07-18,0,3269,1
2006-07-18,0,3462,1
2006-07-18,0,3561,37
2006-07-18,0,3671,15
2006-07-18,0,4837,1
2006-07-18,0,5384,1
2006-07-18,0,5617,4
2006-07-18,0,5645,1
2006-07-18,0,5778,1
2006-07-18,0,6147,1
2006-07-18,0,6432,1
2006-07-18,0,6724,1
2006-07-18,0,6939,1
2006-07-18,0,7029,1
2006-07-18,0,7228,1
2006-07-18,0,7314,4051
2006-07-18,0,7643,1
2006-07-18,0,7738,1
2006-07-18,0,7992,1
2006-07-18,0,8075,1
2006-07-18,0,8341,1
2006-07-18,0,9143,2
2006-07-18,0,9318,2
2006-07-18,0,11486,1
2006-07-18,0,11643,2
2006-07-18,0,11829,1
2006-07-18,0,11913,1
2006-07-18,0,12322,1
2006-07-18,0,12392,1
2006-07-18,0,12929,1
2006-07-18,0,13237,2
2006-07-18,0,13367,1
2006-07-18,0,13462,21
2006-07-18,0,15635,1
2006-07-18,0,15663,1
2006-07-18,0,15802,1
2006-07-18,0,15857,4
2006-07-18,0,19262,1
2006-07-18,0,19296,1
2006-07-18,0,21844,1
2006-07-18,0,24851,4
2006-07-18,0,26347,1
2006-07-18,0,27699,2
2006-07-18,0,28753,1
2006-07-18,0,29717,1
2006-07-18,0,33668,1
2006-07-18,0,36727,1
2006-07-18,1,703,1
2006-07-18,1,3215,2
2006-07-18,1,3265,1349
2006-07-18,1,4134,5
2006-07-18,1,4766,8
2006-07-18,1,4812,1
2006-07-18,1,4837,4
2006-07-18,1,5408,2
2006-07-18,1,6461,28
2006-07-18,1,7314,3
2006-07-18,1,9394,1
2006-07-18,1,9931,2
2006-07-18,1,12252,4
2006-07-18,1,12390,2
2006-07-18,1,12392,11
2006-07-18,1,14777,14
2006-07-18,1,14778,6
2006-07-18,1,15169,4
2006-07-18,1,15772,1
2006-07-18,1,17429,1
2006-07-18,1,18182,1
2006-07-18,1,21844,13
2006-07-18,1,24851,2
2006-07-18,1,25532,1
2006-07-18,1,28753,842
2006-07-18,1,32743,4
2006-07-18,2,16,1
2006-07-18,2,47,1
2006-07-18,2,680,2
2006-07-18,2,1312,97
2006-07-18,2,2152,1
2006-07-18,2,3561,7
2006-07-18,2,3701,1
2006-07-18,2,4323,8
2006-07-18,2,4814,8
2006-07-18,2,5650,62
2006-07-18,2,7018,200
2006-07-18,2,7132,3
2006-07-18,2,7314,164
2006-07-18,2,7377,94
2006-07-18,2,11414,2
2006-07-18,2,12252,16
2006-07-18,2,12392,1
2006-07-18,2,15857,2
2006-07-18,2,16572,6
2006-07-18,2,17429,1
2006-07-18,2,19918,487
2006-07-18,2,28753,792
2006-07-18,2,29863,4
2006-07-18,2,33260,8
2006-07-18,2,33650,10
2006-07-18,2,33651,24
2006-07-18,3,3215,4
2006-07-18,3,4134,2
2006-07-18,3,4837,2
2006-07-18,3,5408,1
2006-07-18,3,9394,1
2006-07-18,3,12392,24
2006-07-18,3,15857,1
2006-07-18,3,21844,1
2006-07-18,3,24851,4
2006-07-18,3,28753,3
2006-07-18,4,7132,18
2006-07-18,4,7314,3810
2006-07-18,4,12252,55
2006-07-18,4,12392,1
2006-07-18,4,14777,2
2006-07-18,4,15857,3
2006-07-18,4,17429,1
2006-07-18,4,21844,13
2006-07-18,4,22855,30
2006-07-18,4,24851,2
2006-07-18,4,28753,849
2006-07-18,4,29895,30
2006-07-18,4,31976,119
2006-07-18,4,33651,214
2006-07-18,5,2152,2
2006-07-18,5,3215,2
2006-07-18,5,3356,1
2006-07-18,5,4134,3
2006-07-18,5,5408,2
2006-07-18,5,6429,1
2006-07-18,5,8070,2
2006-07-18,5,12392,11
2006-07-18,5,21844,1
2006-07-18,5,24851,4
2006-07-18,5,28753,2
2006-07-18,6,3215,2
2006-07-18,6,4134,9
2006-07-18,6,4812,1
2006-07-18,6,4837,4
2006-07-18,6,5408,2
2006-07-18,6,12392,11
2006-07-18,6,15857,1
2006-07-18,6,21844,2
2006-07-18,6,24851,4
2006-07-18,6,28753,3
2006-07-18,6,30380,1
2006-07-18,6,36856,4
2006-07-18,7,131,2
2006-07-18,7,209,4
2006-07-18,7,714,10
2006-07-18,7,1239,16
2006-07-18,7,2152,30
2006-07-18,7,3561,8
2006-07-18,7,3701,3
2006-07-18,7,4134,2
2006-07-18,7,4323,6
2006-07-18,7,5408,2
2006-07-18,7,6432,6
2006-07-18,7,7046,36
2006-07-18,7,8070,3
2006-07-18,7,9156,6
2006-07-18,7,10763,1
2006-07-18,7,10933,2
2006-07-18,7,11305,2
2006-07-18,7,11486,9
2006-07-18,7,12182,3
2006-07-18,7,12217,5
2006-07-18,7,12222,7
2006-07-18,7,13867,14
2006-07-18,7,13884,1
2006-07-18,7,14744,66
2006-07-18,7,15169,65
2006-07-18,7,18924,48
2006-07-18,7,19041,6
2006-07-18,7,19306,15
2006-07-18,7,21844,23
2006-07-18,7,22277,4
2006-07-18,7,25786,1
2006-07-18,7,29720,2
2006-07-18,7,30217,13
2006-07-18,7,30589,12
2006-07-18,7,33419,5
2006-07-18,7,36856,11
2006-07-18,8,3356,1
2006-07-18,8,4134,1
2006-07-18,8,5408,1
2006-07-18,8,7314,15
2006-07-18,8,8070,2
2006-07-18,8,9457,1
2006-07-18,8,15169,4
2006-07-18,9,111,1
2006-07-18,9,209,15
2006-07-18,9,553,32
2006-07-18,9,1668,12
2006-07-18,9,2152,64
2006-07-18,9,3356,18
2006-07-18,9,3561,6
2006-07-18,9,3614,2
2006-07-18,9,3701,2
2006-07-18,9,4182,70
2006-07-18,9,4264,1
2006-07-18,9,4265,1
2006-07-18,9,4323,11
2006-07-18,9,4436,114
2006-07-18,9,4513,6
2006-07-18,9,6318,30
2006-07-18,9,6432,23
2006-07-18,9,6461,8
2006-07-18,9,6971,53
2006-07-18,9,7224,4
2006-07-18,9,7859,16
2006-07-18,9,8070,1
2006-07-18,9,8075,2
2006-07-18,9,8176,6
2006-07-18,9,9729,14
2006-07-18,9,10763,1
2006-07-18,9,10794,22
2006-07-18,9,10912,21
2006-07-18,9,11266,22
2006-07-18,9,11305,171
2006-07-18,9,11486,8
2006-07-18,9,11643,7
2006-07-18,9,11922,3
2006-07-18,9,12179,11
2006-07-18,9,12182,24
2006-07-18,9,12222,40
2006-07-18,9,13703,3
2006-07-18,9,14776,2
2006-07-18,9,14780,53
2006-07-18,9,15169,50
2006-07-18,9,15830,2
2006-07-18,9,17231,17
2006-07-18,9,19296,6
2006-07-18,9,21844,2
2006-07-18,9,22277,2
2006-07-18,9,23010,2
2006-07-18,9,26101,12
2006-07-18,9,26228,2
2006-07-18,9,29720,3
2006-07-18,9,36856,2
2006-07-19,0,1257,2
2006-07-19,0,2856,1
2006-07-19,0,2914,2
2006-07-19,0,3243,1
2006-07-19,0,3249,1
2006-07-19,0,3269,1
2006-07-19,0,3356,1
2006-07-19,0,3549,1
2006-07-19,0,3561,80
2006-07-19,0,3671,14
2006-07-19,0,4230,2
2006-07-19,0,4766,1
2006-07-19,0,4837,2
2006-07-19,0,5033,1
2006-07-19,0,6385,1
2006-07-19,0,6432,2
2006-07-19,0,6461,1
2006-07-19,0,6713,1
2006-07-19,0,6724,1
2006-07-19,0,6939,2
2006-07-19,0,7015,1
2006-07-19,0,7757,1
2006-07-19,0,7853,1
2006-07-19,0,8346,1
2006-07-19,0,9371,1
2006-07-19,0,9498,1
2006-07-19,0,9908,1
2006-07-19,0,11473,1
2006-07-19,0,13237,2
2006-07-19,0,13462,18
2006-07-19,0,13609,1
2006-07-19,0,13867,2
2006-07-19,0,14780,1
2006-07-19,0,15083,1
2006-07-19,0,15334,1
2006-07-19,0,19094,1
2006-07-19,0,19548,2
2006-07-19,0,20214,1
2006-07-19,0,20773,1
2006-07-19,0,22047,1
2006-07-19,0,22909,1
2006-07-19,0,23606,1
2006-07-19,0,23771,1
2006-07-19,0,26831,1
2006-07-19,0,27699,2
2006-07-19,0,27810,1
2006-07-19,0,32519,1
2006-07-19,1,2152,2
2006-07-19,1,2828,2
2006-07-19,1,3265,1390
2006-07-19,1,3462,887
2006-07-19,1,3595,2
2006-07-19,1,3794,2
2006-07-19,1,4134,3
2006-07-19,1,4266,2
2006-07-19,1,4323,1
2006-07-19,1,4766,4
2006-07-19,1,4812,2
2006-07-19,1,4837,7
2006-07-19,1,6461,9
2006-07-19,1,7015,1
2006-07-19,1,7016,1
2006-07-19,1,8376,2
2006-07-19,1,9808,1
2006-07-19,1,9829,2
2006-07-19,1,9908,1
2006-07-19,1,9919,1
2006-07-19,1,11351,2
2006-07-19,1,14777,13
2006-07-19,1,14778,4
2006-07-19,1,15169,2
2006-07-19,1,15706,2
2006-07-19,1,16852,3
2006-07-19,1,17897,2
2006-07-19,1,18101,1
2006-07-19,1,19094,3
2006-07-19,1,19262,1
2006-07-19,1,22773,2
2006-07-19,1,23606,1
2006-07-19,1,25532,1
2006-07-19,1,27810,2
2006-07-19,1,32743,2
2006-07-19,1,34320,1
2006-07-19,1,35908,2
2006-07-19,2,81,1
2006-07-19,2,1312,88
2006-07-19,2,3462,877
2006-07-19,2,3561,11
2006-07-19,2,3659,1
2006-07-19,2,3701,1
2006-07-19,2,4323,4
2006-07-19,2,4538,3
2006-07-19,2,4837,2
2006-07-19,2,5650,50
2006-07-19,2,7018,160
2006-07-19,2,7132,3
2006-07-19,2,7377,76
2006-07-19,2,11840,1
2006-07-19,2,16322,2
2006-07-19,2,16467,8
2006-07-19,2,19094,1
2006-07-19,2,19306,3
2006-07-19,2,19918,584
2006-07-19,2,23606,1
2006-07-19,2,27596,2
2006-07-19,2,27810,7
2006-07-19,2,29863,4
2006-07-19,2,30099,4
2006-07-19,2,32400,2
2006-07-19,2,33260,4
2006-07-19,2,33438,1
2006-07-19,2,33650,37
2006-07-19,3,3462,2
2006-07-19,3,4134,1
2006-07-19,3,4812,1
2006-07-19,3,4837,6
2006-07-19,3,5078,5
2006-07-19,3,7132,1
2006-07-19,3,9116,1
2006-07-19,3,9808,1
2006-07-19,3,9919,1
2006-07-19,3,11351,4
2006-07-19,3,19094,5
2006-07-19,4,2914,1
2006-07-19,4,3462,882
2006-07-19,4,4323,1
2006-07-19,4,4837,1
2006-07-19,4,7132,1446
2006-07-19,4,14777,10
2006-07-19,4,14778,2
2006-07-19,4,19094,1
2006-07-19,4,22855,15
2006-07-19,4,23606,1
2006-07-19,4,29895,15
2006-07-19,4,31976,83
2006-07-19,4,33651,54
2006-07-19,5,3356,1
2006-07-19,5,3462,1
2006-07-19,5,3561,1
2006-07-19,5,4812,1
2006-07-19,5,4837,4
2006-07-19,5,5078,2
2006-07-19,5,7132,1
2006-07-19,5,8070,4
2006-07-19,5,9116,2
2006-07-19,5,9919,1
2006-07-19,5,11351,2
2006-07-19,5,19094,3
2006-07-19,6,3462,2
2006-07-19,6,3595,2
2006-07-19,6,4812,1
2006-07-19,6,4837,4
2006-07-19,6,5078,2
2006-07-19,6,9116,2
2006-07-19,6,9803,1
2006-07-19,6,9808,1
2006-07-19,6,9919,1
2006-07-19,6,11351,2
2006-07-19,6,17897,3
2006-07-19,6,19094,3
2006-07-19,6,23606,1
2006-07-19,7,2152,31
2006-07-19,7,3356,2
2006-07-19,7,3561,5
2006-07-19,7,3701,3
2006-07-19,7,4264,2
2006-07-19,7,4323,9
2006-07-19,7,6432,8
2006-07-19,7,7132,1
2006-07-19,7,8002,1
2006-07-19,7,8070,1
2006-07-19,7,8075,2
2006-07-19,7,9156,7
2006-07-19,7,9443,5
2006-07-19,7,10754,1
2006-07-19,7,10763,2
2006-07-19,7,12168,2
2006-07-19,7,12179,2
2006-07-19,7,12182,3
2006-07-19,7,12222,26
2006-07-19,7,13867,4
2006-07-19,7,14776,2
2006-07-19,7,15169,67
2006-07-19,7,16509,9
2006-07-19,7,17477,6
2006-07-19,7,18924,48
2006-07-19,7,19094,1
2006-07-19,7,21844,15
2006-07-19,7,22822,5
2006-07-19,7,26101,10
2006-07-19,7,30217,13
2006-07-19,7,33070,1
2006-07-19,7,35845,1
2006-07-19,7,36856,14
2006-07-19,8,2914,1
2006-07-19,8,7132,1
2006-07-19,8,8075,2
2006-07-19,8,15169,4
2006-07-19,8,19094,1
2006-07-19,9,209,5
2006-07-19,9,1668,15
2006-07-19,9,2152,449
2006-07-19,9,2911,34
2006-07-19,9,3356,590
2006-07-19,9,3549,1
2006-07-19,9,3561,72
2006-07-19,9,3699,4
2006-07-19,9,3707,17
2006-07-19,9,4265,64
2006-07-19,9,4267,2
2006-07-19,9,4436,5
2006-07-19,9,5662,39
2006-07-19,9,5779,168
2006-07-19,9,6318,6
2006-07-19,9,6334,3
2006-07-19,9,6432,83
2006-07-19,9,7091,45
2006-07-19,9,7132,2
2006-07-19,9,7224,6
2006-07-19,9,7260,17
2006-07-19,9,7349,167
2006-07-19,9,7743,15
2006-07-19,9,8002,1
2006-07-19,9,8070,4
2006-07-19,9,8075,2
2006-07-19,9,8176,1
2006-07-19,9,8182,6
2006-07-19,9,9194,1
2006-07-19,9,10763,3
2006-07-19,9,10794,9
2006-07-19,9,10912,1
2006-07-19,9,11040,8
2006-07-19,9,11266,63
2006-07-19,9,11329,29
2006-07-19,9,11486,12
2006-07-19,9,11922,1
2006-07-19,9,12147,23
2006-07-19,9,12168,888
2006-07-19,9,12179,7
2006-07-19,9,12182,4
2006-07-19,9,12222,18
2006-07-19,9,13322,14
2006-07-19,9,13323,6
2006-07-19,9,13649,1
2006-07-19,9,14501,2
2006-07-19,9,14780,466
2006-07-19,9,14806,9
2006-07-19,9,15169,322
2006-07-19,9,15334,1
2006-07-19,9,16276,7
2006-07-19,9,16432,3
2006-07-19,9,17231,4
2006-07-19,9,18462,1
2006-07-19,9,19024,1
2006-07-19,9,19296,50
2006-07-19,9,19773,2
2006-07-19,9,20461,6
2006-07-19,9,21840,1
2006-07-19,9,22277,2
2006-07-19,9,22527,3
2006-07-19,9,22758,3
2006-07-19,9,22822,1
2006-07-19,9,22883,1
2006-07-19,9,25751,7
2006-07-19,9,25897,1
2006-07-19,9,26101,104
2006-07-19,9,27357,36
2006-07-19,9,29873,10
2006-07-19,9,30060,13
2006-07-19,9,30315,55
2006-07-19,9,33260,2
2006-07-19,9,33694,1
2006-07-19,9,36088,297
2006-07-19,9,36561,11
2006-07-19,9,36839,43
2006-07-19,9,36856,2
2006-07-20,0,209,1
2006-07-20,0,701,5
2006-07-20,0,1680,1
2006-07-20,0,2819,5
2006-07-20,0,2856,1
2006-07-20,0,2914,1
2006-07-20,0,3269,3
2006-07-20,0,3352,1
2006-07-20,0,3356,1
2006-07-20,0,3561,39
2006-07-20,0,3671,14
2006-07-20,0,3786,1
2006-07-20,0,4766,2
2006-07-20,0,4814,1
2006-07-20,0,4837,1367
2006-07-20,0,5089,1
2006-07-20,0,5617,1
2006-07-20,0,6432,2
2006-07-20,0,6713,1
2006-07-20,0,6724,1
2006-07-20,0,8002,1
2006-07-20,0,8176,1
2006-07-20,0,11383,1
2006-07-20,0,11427,1
2006-07-20,0,11486,1
2006-07-20,0,12131,1
2006-07-20,0,12180,1
2006-07-20,0,13118,1
2006-07-20,0,13237,2
2006-07-20,0,13367,1
2006-07-20,0,13462,29
2006-07-20,0,13749,1
2006-07-20,0,13867,1
2006-07-20,0,16811,1
2006-07-20,0,17228,1
2006-07-20,0,18566,1
2006-07-20,0,19296,1
2006-07-20,0,19893,1
2006-07-20,0,20685,1
2006-07-20,0,25074,1
2006-07-20,0,27699,1
2006-07-20,0,33651,1
2006-07-20,0,34317,1
2006-07-20,1,680,1
2006-07-20,1,701,2
2006-07-20,1,1103,10
2006-07-20,1,1668,2
2006-07-20,1,2819,7
2006-07-20,1,2828,2
2006-07-20,1,3265,1313
2006-07-20,1,3352,1
2006-07-20,1,3462,1
2006-07-20,1,3561,5
2006-07-20,1,4134,14
2006-07-20,1,4266,2
2006-07-20,1,4766,5
2006-07-20,1,4837,1364
2006-07-20,1,6197,1
2006-07-20,1,6327,1
2006-07-20,1,6461,18
2006-07-20,1,8376,2
2006-07-20,1,9318,4
2006-07-20,1,9800,2
2006-07-20,1,10994,2
2006-07-20,1,12390,2
2006-07-20,1,14361,2
2006-07-20,1,14777,12
2006-07-20,1,14778,10
2006-07-20,1,14780,1
2006-07-20,1,17897,3
2006-07-20,1,25074,10
2006-07-20,1,28573,2
2006-07-20,1,30099,2
2006-07-20,1,34320,1
2006-07-20,1,35908,3
2006-07-20,2,1312,84
2006-07-20,2,2152,1
2006-07-20,2,2819,4
2006-07-20,2,3561,6
2006-07-20,2,4323,8
2006-07-20,2,4538,12
2006-07-20,2,4766,1
2006-07-20,2,4837,1364
2006-07-20,2,5650,177
2006-07-20,2,7018,175
2006-07-20,2,7132,3
2006-07-20,2,7377,80
2006-07-20,2,11414,1
2006-07-20,2,19918,489
2006-07-20,2,29863,4
2006-07-20,2,30099,4
2006-07-20,2,33260,4
2006-07-20,2,33650,16
2006-07-20,2,33651,8
2006-07-20,2,36351,2
2006-07-20,2,36828,3
2006-07-20,3,1668,1
2006-07-20,3,4134,2
2006-07-20,3,4766,1
2006-07-20,3,4812,1
2006-07-20,3,4837,9
2006-07-20,3,9800,2
2006-07-20,3,25074,1
2006-07-20,4,2819,10
2006-07-20,4,4766,1
2006-07-20,4,4837,486
2006-07-20,4,7132,6
2006-07-20,4,14777,6
2006-07-20,4,22855,15
2006-07-20,4,25074,12
2006-07-20,4,31976,84
2006-07-20,5,1668,2
2006-07-20,5,3462,1
2006-07-20,5,4134,3
2006-07-20,5,4766,1
2006-07-20,5,4812,1
2006-07-20,5,4837,9
2006-07-20,5,7132,1
2006-07-20,5,8070,2
2006-07-20,5,9800,2
2006-07-20,5,9803,2
2006-07-20,5,25074,1
2006-07-20,6,1668,2
2006-07-20,6,2819,2
2006-07-20,6,4134,4
2006-07-20,6,4766,2
2006-07-20,6,4837,2
2006-07-20,6,9800,2
2006-07-20,6,25074,2
2006-07-20,6,36856,4
2006-07-20,7,3,1
2006-07-20,7,209,18
2006-07-20,7,1239,11
2006-07-20,7,1668,3
2006-07-20,7,2152,54
2006-07-20,7,3561,13
2006-07-20,7,4264,6
2006-07-20,7,4266,6
2006-07-20,7,6140,6
2006-07-20,7,6432,8
2006-07-20,7,7132,1
2006-07-20,7,7333,24
2006-07-20,7,8001,6
2006-07-20,7,8070,9
2006-07-20,7,8075,22
2006-07-20,7,8473,45
2006-07-20,7,8560,3
2006-07-20,7,9156,10
2006-07-20,7,10913,6
2006-07-20,7,11479,19
2006-07-20,7,12182,6
2006-07-20,7,12222,8
2006-07-20,7,12552,6
2006-07-20,7,13890,6
2006-07-20,7,14743,5
2006-07-20,7,15169,96
2006-07-20,7,17374,8
2006-07-20,7,18924,48
2006-07-20,7,21844,21
2006-07-20,7,22205,6
2006-07-20,7,22822,24
2006-07-20,7,22982,6
2006-07-20,7,26347,3
2006-07-20,7,27357,4
2006-07-20,7,33070,3
2006-07-20,7,33554,6
2006-07-20,7,36856,17
2006-07-20,8,1668,1
2006-07-20,8,3561,2
2006-07-20,8,8070,2
2006-07-20,8,8075,2
2006-07-20,8,9457,1
2006-07-20,8,15169,4
2006-07-20,8,31898,169
2006-07-20,9,3,2
2006-07-20,9,73,2
2006-07-20,9,111,1
2006-07-20,9,137,10
2006-07-20,9,209,1
2006-07-20,9,2152,6
2006-07-20,9,3794,12
2006-07-20,9,4323,11
2006-07-20,9,6334,3
2006-07-20,9,6432,4
2006-07-20,9,6939,4
2006-07-20,9,7132,2
2006-07-20,9,8070,2
2006-07-20,9,8643,32
2006-07-20,9,10794,12
2006-07-20,9,12168,2
2006-07-20,9,12222,2
2006-07-20,9,13756,4
2006-07-20,9,15169,180
2006-07-20,9,15226,11
2006-07-20,9,15334,6
2006-07-20,9,17225,5
2006-07-20,9,20461,6
2006-07-20,9,25751,4
2006-07-20,9,26228,2
2006-07-20,9,33419,9
2006-07-20,9,36561,1
2006-07-20,9,36856,2
2006-07-21,0,209,1
2006-07-21,0,701,2
2006-07-21,0,1668,1
2006-07-21,0,2828,2
2006-07-21,0,2856,1
2006-07-21,0,3561,6
2006-07-21,0,3671,21
