Date,Game,Earnings,Players,Tournaments
1/1/2012,FIFA 12,705.99,6,6
1/1/2012,NHL 12,570.56,4,1
1/1/2012,Tekken 6,570.56,2,1
1/1/2012,Quake Live,515.53,1,4
1/1/2012,Super Smash Bros.,400,7,2
1/1/2012,TrackMania 2: Canyon,386.85,2,3
1/1/2012,StarCraft: Brood War,280,8,4
1/1/2012,Tekken Tag Tournament 2,250,4,2
1/1/2012,Super Street Fighter IV Arcade Edition,190.19,2,1
2/1/2012,StarCraft II,105998.99,115,69
2/1/2012,League of Legends,42541.43,114,22
2/1/2012,Call of Duty: Modern Warfare 3,25720,1,4
2/1/2012,Counter-Strike: Source,24992.47,65,6
2/1/2012,Counter-Strike,16477.27,89,6
2/1/2012,Tekken 6,3971.22,3,1
2/1/2012,Dota 2,2621.34,20,1
2/1/2012,Call of Duty 4: Modern Warfare,2374.72,15,2
2/1/2012,Halo: Reach,1840.41,12,1
2/1/2012,Quake Live,1809.19,4,5
2/1/2012,FIFA 12,860.41,6,5
2/1/2012,Super Smash Bros. Melee,600,6,1
2/1/2012,TrackMania 2: Canyon,529.48,1,4
2/1/2012,WarCraft III,529.4,3,4
2/1/2012,Super Street Fighter IV Arcade Edition,330.93,3,1
2/1/2012,TrackMania Nations Forever,237.05,4,1
2/1/2012,Forza Motorsport 4,132.37,2,1
2/1/2012,NHL 12,132.37,2,1
3/1/2012,StarCraft II,393265.76,175,70
3/1/2012,Counter-Strike,140882.95,122,7
3/1/2012,League of Legends,127157.99,127,25
3/1/2012,Halo: Reach,56000,32,1
3/1/2012,Dota 2,42028.2,77,13
3/1/2012,Mortal Kombat 9,33400,8,1
3/1/2012,Counter-Strike: Source,28430.64,68,4
3/1/2012,Soul Calibur V,17200,12,2
3/1/2012,BlazBlue: Continuum Shift II,16999.58,0,1
3/1/2012,King of Fighters XIII,16700,16,2
3/1/2012,Team Fortress 2,10080,12,1
3/1/2012,Call of Duty: Modern Warfare 3,8444.16,43,2
3/1/2012,Heroes of Newerth,3000,20,3
3/1/2012,Quake Live,2527.63,4,6
3/1/2012,StarCraft: Brood War,2309.37,3,1
3/1/2012,Super Smash Bros. Melee,1704,8,2
3/1/2012,WarCraft III,1636.16,18,6
3/1/2012,Defense of the Ancients,1015.23,32,2
3/1/2012,Super Street Fighter IV Arcade Edition,1000,8,1
3/1/2012,Ultimate Marvel vs. Capcom 3,1000,8,1
3/1/2012,Street Fighter X Tekken,835,16,4
3/1/2012,FIFA 12,660.34,8,5
3/1/2012,TrackMania 2: Canyon,528.32,2,4
3/1/2012,TrackMania Nations Forever,396.39,2,1
3/1/2012,Bloodline Champions,300,3,1
4/1/2012,StarCraft II,292084.93,165,65
4/1/2012,League of Legends,121742.9,188,36
4/1/2012,Counter-Strike: Source,63967.08,104,5
4/1/2012,Counter-Strike,60637.71,116,8
4/1/2012,Call of Duty: Modern Warfare 3,33104.75,76,7
4/1/2012,KartRider,26439,8,2
4/1/2012,Dota 2,20354.04,64,6
4/1/2012,Battlefield 3,18296.6,0,3
4/1/2012,World of Tanks,15000,0,1
4/1/2012,Point Blank,14000,20,1
4/1/2012,Bloodline Champions,11150,21,2
4/1/2012,Halo: Reach,5459.68,13,3
4/1/2012,Age of Empires II,5300,3,2
4/1/2012,Gears of War 3,4555.81,0,2
4/1/2012,Mortal Kombat 9,3400,4,1
4/1/2012,Soul Calibur V,3400,4,1
4/1/2012,Team Fortress 2,2615.73,18,1
4/1/2012,Heroes of Newerth,2300,16,4
4/1/2012,Call of Duty 4: Modern Warfare,2288.77,0,1
4/1/2012,StarCraft: Brood War,2206.73,4,4
4/1/2012,FIFA 12,1441.52,15,8
4/1/2012,Counter-Strike: Global Offensive,1309.33,5,1
4/1/2012,Quake Live,1159.96,4,6
4/1/2012,Super Smash Bros. Brawl,725,10,5
4/1/2012,TrackMania 2: Canyon,658.3,3,5
4/1/2012,Street Fighter X Tekken,600,12,3
4/1/2012,WarCraft III,526.41,2,4
4/1/2012,Defense of the Ancients,507.1,20,1
4/1/2012,TrackMania Nations Forever,457.75,3,1
4/1/2012,Super Street Fighter IV Arcade Edition,210,3,1
4/1/2012,Age of Empires III,145,3,1
5/1/2012,StarCraft II,314569.71,180,70
5/1/2012,League of Legends,228878.36,233,34
5/1/2012,Counter-Strike,38374.64,105,9
5/1/2012,FIFA 12,26643.73,11,6
5/1/2012,Counter-Strike: Source,15483.81,80,4
5/1/2012,Call of Duty: Modern Warfare 3,11821.28,24,6
5/1/2012,Heroes of Newerth,11588.93,40,2
5/1/2012,Dota 2,8843.93,30,9
5/1/2012,Street Fighter X Tekken,1386.3,14,5
5/1/2012,Super Smash Bros. Melee,1340,11,2
5/1/2012,Super Street Fighter IV Arcade Edition,720,7,4
5/1/2012,WarCraft III,513.01,3,4
5/1/2012,Quake Live,513,3,4
5/1/2012,TrackMania 2: Canyon,511.92,3,4
5/1/2012,Defense of the Ancients,507.27,20,1
5/1/2012,Age of Empires II,335,1,1
5/1/2012,Project M,280,4,1
5/1/2012,QuakeWorld,255.66,1,1
5/1/2012,TrackMania Nations Forever,239,4,1
5/1/2012,StarCraft: Brood War,140,7,4
6/1/2012,StarCraft II,221134.49,224,68
6/1/2012,League of Legends,196210.72,188,38
6/1/2012,Heroes of Newerth,57653.73,39,7
6/1/2012,Counter-Strike,42755.95,95,8
6/1/2012,Dota 2,36447.31,41,8
6/1/2012,Mortal Kombat 9,27700,11,2
6/1/2012,World of Tanks,19466.8,28,1
6/1/2012,Soul Calibur V,16700,8,2
6/1/2012,Quake Live,11256.86,8,6
6/1/2012,Bloodline Champions,10000,9,1
6/1/2012,Super Street Fighter IV Arcade Edition,7604.77,15,6
6/1/2012,Battlefield 3,7110.86,5,1
6/1/2012,CrossFire,6488.93,15,1
6/1/2012,WarCraft III,6440.16,8,6
6/1/2012,Defense of the Ancients,5968.98,0,1
6/1/2012,King of Fighters XIII,5000,7,2
6/1/2012,Call of Duty: Modern Warfare 3,3920,14,4
6/1/2012,FIFA 12,3861.95,8,6
6/1/2012,Street Fighter X Tekken,3199.34,11,6
6/1/2012,Ultimate Marvel vs. Capcom 3,3000,3,1
6/1/2012,StarCraft: Brood War,2998.87,12,3
6/1/2012,Counter-Strike: Source,1368.84,20,1
6/1/2012,Super Smash Bros. Brawl,670,7,2
6/1/2012,TrackMania 2: Canyon,376.35,2,3
6/1/2012,Tekken 6,0,3,1
7/1/2012,StarCraft II,609856.58,399,79
7/1/2012,League of Legends,94428.41,206,47
7/1/2012,Counter-Strike,55880.83,105,5
7/1/2012,Counter-Strike: Source,43513.1,96,7
7/1/2012,Dota 2,41052.74,65,14
7/1/2012,Counter-Strike Online,28332,20,1
7/1/2012,Tekken Tag Tournament 2,21100,3,1
7/1/2012,Point Blank,15000,20,1
7/1/2012,World of Tanks,15000,30,1
7/1/2012,Age of Empires II,14700,42,1
7/1/2012,Team Fortress 2,10547.95,12,2
7/1/2012,Heroes of Newerth,10005.34,43,7
7/1/2012,Super Smash Bros. Melee,9349.9,44,8
7/1/2012,Call of Duty: Modern Warfare 3,6667.51,28,5
7/1/2012,Super Street Fighter IV Arcade Edition,6050,16,5
7/1/2012,Street Fighter X Tekken,5645,16,5
7/1/2012,Super Smash Bros. Brawl,3646.5,25,7
7/1/2012,Call of Duty 4: Modern Warfare,3124.3,15,1
7/1/2012,Street Fighter III: 3rd Strike,3050,6,1
7/1/2012,Super Street Fighter II Turbo HD Remix,3050,6,1
7/1/2012,TrackMania Nations Forever,2264.63,10,3
7/1/2012,StarCraft: Brood War,947.64,5,3
7/1/2012,Quake Live,616.77,2,5
7/1/2012,FIFA 12,614.55,5,6
7/1/2012,Counter-Strike: Global Offensive,490.16,16,4
7/1/2012,WarCraft III,490.16,4,4
7/1/2012,TrackMania 2: Canyon,245.82,1,2
7/1/2012,Project M,60,2,1
7/1/2012,King of Fighters XIII,0,3,1
7/1/2012,Mortal Kombat 9,0,3,1
7/1/2012,Soul Calibur V,0,3,1
7/1/2012,Ultimate Marvel vs. Capcom 3,0,3,1
8/1/2012,StarCraft II,339477.62,177,47
8/1/2012,League of Legends,299717.44,193,37
8/1/2012,StarCraft: Brood War,90558.57,20,3
8/1/2012,Heroes of Newerth,47125.72,69,4
8/1/2012,Dota 2,43604.54,35,8
8/1/2012,Defense of the Ancients,42450.16,20,1
8/1/2012,Counter-Strike,31472.23,74,6
8/1/2012,Quake Live,29500,18,4
8/1/2012,WarCraft III,23577.83,19,6
8/1/2012,Call of Duty: Modern Warfare 3,20886.17,33,3
8/1/2012,Soul Calibur V,20200.9,12,3
8/1/2012,Mortal Kombat 9,20100,10,2
8/1/2012,World of WarCraft,19500,6,1
8/1/2012,Counter-Strike: Source,15579.96,50,3
8/1/2012,Team Fortress 2,7908.14,48,1
8/1/2012,Super Street Fighter IV Arcade Edition,7617.86,20,7
8/1/2012,Counter-Strike: Global Offensive,5958.73,15,6
8/1/2012,Call of Duty 4: Modern Warfare,3504.02,5,1
8/1/2012,Super Street Fighter II Turbo HD Remix,3150,6,1
8/1/2012,Street Fighter III: 3rd Strike,2730.72,7,2
8/1/2012,Super Smash Bros. Brawl,1536.96,12,2
8/1/2012,Super Smash Bros. Melee,1396.8,7,1
8/1/2012,Ultimate Marvel vs. Capcom 3,696.23,3,1
8/1/2012,Street Fighter X Tekken,650,5,2
8/1/2012,FIFA 12,495.96,3,4
8/1/2012,Persona 4 Arena,181.63,3,1
9/1/2012,Dota 2,1615721.38,61,7
9/1/2012,League of Legends,373092.61,280,49
9/1/2012,StarCraft II,266709.82,119,51
9/1/2012,Defense of the Ancients,45905.68,20,1
9/1/2012,Counter-Strike,34642.05,77,6
9/1/2012,KartRider,26700,16,1
9/1/2012,Heroes of Newerth,21850,64,4
9/1/2012,Super Street Fighter IV Arcade Edition,19067.26,16,6
9/1/2012,Call of Duty: Modern Warfare 3,16728.01,19,3
9/1/2012,Counter-Strike: Source,15995.33,30,2
9/1/2012,Counter-Strike: Global Offensive,7131.6,45,7
9/1/2012,CrossFire,1358.5,43,5
9/1/2012,WarCraft III,643.55,3,5
9/1/2012,FIFA 12,386.07,3,4
9/1/2012,FIFA 13,257.38,2,2
9/1/2012,Quake Live,250,4,2
9/1/2012,Age of Empires III,200,2,1
9/1/2012,TrackMania Nations Forever,192.89,2,1
9/1/2012,StarCraft: Brood War,140,3,1
9/1/2012,King of Fighters XIII,0,8,1
9/1/2012,Super Street Fighter II Turbo,0,4,1
9/1/2012,Ultimate Marvel vs. Capcom 3,0,8,1
10/1/2012,League of Legends,2142991.87,189,22
10/1/2012,StarCraft II,395288.16,166,45
10/1/2012,Dota 2,38042.42,67,7
10/1/2012,Counter-Strike,35000.52,40,3
10/1/2012,iRacing.com,32500,8,2
10/1/2012,Call of Duty: Modern Warfare 3,21292.24,61,3
10/1/2012,Point Blank,15000,20,1
10/1/2012,Quake Live,11578.87,7,5
10/1/2012,Counter-Strike: Global Offensive,11232.84,66,8
10/1/2012,Heroes of Newerth,9405.22,66,10
10/1/2012,StarCraft: Brood War,6261.46,3,1
10/1/2012,Call of Duty: Black Ops 2,5193.6,4,1
10/1/2012,Team Fortress 2,4000,24,1
10/1/2012,Age of Empires II,3000,17,1
10/1/2012,Super Smash Bros. Melee,2999.8,16,3
10/1/2012,CrossFire,2173.58,33,5
10/1/2012,Call of Duty 4: Modern Warfare,765.79,10,1
10/1/2012,Tekken Tag Tournament 2,585,15,6
10/1/2012,WarCraft III,519.57,3,4
10/1/2012,FIFA 13,519.12,4,4
10/1/2012,Project M,411.81,6,2
10/1/2012,Dead or Alive 5,0,4,1
10/1/2012,King of Fighters XIII,0,8,1
10/1/2012,Mortal Kombat 9,0,4,1
10/1/2012,Persona 4 Arena,0,8,1
10/1/2012,Street Fighter X Tekken,0,8,1
10/1/2012,Super Street Fighter IV Arcade Edition,0,8,1
10/1/2012,Ultimate Marvel vs. Capcom 3,0,8,1
11/1/2012,StarCraft II,570152.17,172,39
11/1/2012,League of Legends,369698.02,315,29
11/1/2012,World of WarCraft,189000,12,1
11/1/2012,Dota 2,130845.7,77,12
11/1/2012,Counter-Strike: Global Offensive,98963.99,93,11
11/1/2012,Heroes of Newerth,62487.67,65,6
11/1/2012,Tekken Tag Tournament 2,44470,34,8
11/1/2012,Halo 4,40000,16,1
11/1/2012,ShootMania Storm,20000,9,1
11/1/2012,WarCraft III,17512.65,6,5
11/1/2012,Mortal Kombat 9,16700,8,1
11/1/2012,Counter-Strike,14900,20,1
11/1/2012,FIFA 13,11957.82,12,7
11/1/2012,Quake Live,11057,9,5
11/1/2012,TrackMania Nations Forever,10239.5,6,2
11/1/2012,TrackMania 2: Canyon,10000,3,1
11/1/2012,Super Street Fighter IV Arcade Edition,7955.86,8,3
11/1/2012,Point Blank,5500,0,1
11/1/2012,World of Tanks,5000,0,1
11/1/2012,rFactor,4645.73,29,1
11/1/2012,Team Fortress 2,3254.53,18,1
11/1/2012,Super Smash Bros. Melee,3030,27,4
11/1/2012,CrossFire,2173.58,42,5
11/1/2012,StarCraft: Brood War,833.65,11,5
11/1/2012,King of Fighters XIII,295,3,1
11/1/2012,Persona 4 Arena,295,3,1
11/1/2012,Call of Duty: Black Ops,240,0,1
12/1/2012,StarCraft II,602120.22,182,40
12/1/2012,League of Legends,237414.41,212,30
12/1/2012,Dota 2,107533.25,78,11
12/1/2012,Counter-Strike: Global Offensive,97452.12,157,11
12/1/2012,Heroes of Newerth,82200,150,13
12/1/2012,ShootMania Storm,80000,18,1
12/1/2012,Counter-Strike Online,77776,25,2
12/1/2012,World of Tanks,69035.47,36,2
12/1/2012,Super Street Fighter IV Arcade Edition,56843.79,19,3
12/1/2012,Defense of the Ancients,56770.86,40,2
12/1/2012,Street Fighter X Tekken,53700,16,1
12/1/2012,CrossFire,48580.37,68,6
12/1/2012,Call of Duty: Black Ops 2,24804.35,28,3
12/1/2012,Counter-Strike,24622,45,2
12/1/2012,FIFA 12,17000,3,1
12/1/2012,Point Blank,15000,20,1
12/1/2012,WarCraft III,14390.76,4,4
12/1/2012,Street Fighter III: 3rd Strike,10000,8,1
12/1/2012,Super Street Fighter II Turbo HD Remix,10000,8,1
12/1/2012,FIFA 13,4388.95,6,5
12/1/2012,Team Fortress 2,1601.45,5,1
12/1/2012,Super Smash Bros. Brawl,1560,10,3
12/1/2012,Age of Empires II,1307.94,8,1
12/1/2012,TrackMania Nations Forever,1001.77,3,1
12/1/2012,Super Smash Bros. Melee,892,13,3
12/1/2012,Quake Live,500,3,4
12/1/2012,Tekken Tag Tournament 2,315,6,3
12/1/2012,StarCraft: Brood War,140,6,2
1/1/2013,StarCraft II,107833.16,82,24
1/1/2013,League of Legends,79274.02,118,25
1/1/2013,Heroes of Newerth,70100,126,12
1/1/2013,Counter-Strike: Global Offensive,22421.56,80,8
1/1/2013,Super Smash Bros. Brawl,10129.9,24,6
1/1/2013,Halo 4,9600,12,1
1/1/2013,Super Smash Bros. Melee,9100,33,8
1/1/2013,Dota 2,7601.07,15,2
1/1/2013,Call of Duty 4: Modern Warfare,3339.24,0,1
1/1/2013,Call of Duty: Black Ops 2,2584.64,12,1
1/1/2013,CrossFire,2336.6,39,6
1/1/2013,WarCraft III,1478.34,5,5
1/1/2013,Super Smash Bros.,1460,8,1
1/1/2013,Super Street Fighter IV Arcade Edition,1210,8,4
1/1/2013,Ultimate Marvel vs. Capcom 3,1210,7,4
1/1/2013,Age of Empires II,804.27,1,1
1/1/2013,FIFA 13,532.16,4,4
1/1/2013,StarCraft: Brood War,473.58,1,1
1/1/2013,Quake Live,375,5,3
2/1/2013,FIFA 13,400534.28,17,6
2/1/2013,Madden NFL 2013,4.00E+05,8,1
2/1/2013,League of Legends,374412.5,234,32
2/1/2013,Heroes of Newerth,87657,83,15
2/1/2013,StarCraft II,81859.39,132,38
2/1/2013,NHL 13,70000,1,1
2/1/2013,Counter-Strike: Global Offensive,54686.72,200,21
2/1/2013,KartRider,27570,16,1
2/1/2013,Dota 2,11793.08,79,9
2/1/2013,Call of Duty: Black Ops 2,7061.23,12,2
2/1/2013,Halo 4,2250,0,2
2/1/2013,CrossFire,2173.58,41,5
2/1/2013,Call of Duty 4: Modern Warfare,1976.19,10,1
2/1/2013,Team Fortress 2,1636.77,18,2
2/1/2013,Ultimate Marvel vs. Capcom 3,980,7,4
2/1/2013,Super Street Fighter IV Arcade Edition,950,8,4
2/1/2013,Super Smash Bros. Melee,930,16,6
2/1/2013,Street Fighter X Tekken,880,12,7
2/1/2013,WarCraft III,535.64,3,4
2/1/2013,StarCraft: Brood War,393.15,5,3
2/1/2013,Project M,355,10,3
2/1/2013,Super Smash Bros. Brawl,330,11,4
2/1/2013,Tekken Tag Tournament 2,275,5,3
2/1/2013,ShootMania Storm,131.91,1,1
2/1/2013,Super Smash Bros.,70,2,1
3/1/2013,StarCraft II,391772.25,168,40
3/1/2013,League of Legends,326372.21,211,30
3/1/2013,Heroes of Newerth,165700,91,14
3/1/2013,Magic: The Gathering Online,116000,16,1
3/1/2013,Dota 2,100557.98,117,13
3/1/2013,Counter-Strike: Global Offensive,91418.13,216,16
3/1/2013,Call of Duty: Black Ops 2,75215.32,80,4
3/1/2013,WarCraft III,15131.44,7,6
3/1/2013,ShootMania Storm,8177.35,10,7
3/1/2013,Tekken Tag Tournament 2,6525,11,4
3/1/2013,Quake Live,3223.05,17,3
3/1/2013,CrossFire,2445.28,40,6
3/1/2013,TrackMania Nations Forever,1116.91,3,1
3/1/2013,Super Street Fighter IV Arcade Edition,930,7,4
3/1/2013,Age of Empires,924,17,1
3/1/2013,Ultimate Marvel vs. Capcom 3,910,6,4
3/1/2013,StarCraft: Brood War,710,10,4
3/1/2013,Street Fighter X Tekken,660,12,7
3/1/2013,FIFA 13,648.1,5,6
3/1/2013,Super Smash Bros. Brawl,590,6,2
3/1/2013,Unreal Tournament 3,165,4,1
3/1/2013,Super Smash Bros. Melee,150,3,1
3/1/2013,TrackMania 2: Stadium,64.84,6,2
3/1/2013,Project M,40,4,1
3/1/2013,TrackMania 2: Canyon,0,3,1
4/1/2013,Call of Duty: Black Ops 2,1010000,35,3
4/1/2013,League of Legends,390550.2,198,25
4/1/2013,Counter-Strike: Global Offensive,134104.1,219,19
4/1/2013,Dota 2,103207.77,91,10
4/1/2013,ShootMania Storm,100521.23,49,5
4/1/2013,Heroes of Newerth,61750,55,4
4/1/2013,StarCraft II,48115.01,56,30
4/1/2013,Point Blank,15000,20,1
4/1/2013,Counter-Strike,10080,21,1
4/1/2013,Halo 4,10000,16,1
4/1/2013,Team Fortress 2,4493.29,32,2
4/1/2013,Super Smash Bros. Melee,2756,25,6
4/1/2013,CrossFire,2173.58,34,5
4/1/2013,Quake Live,1006.2,8,1
4/1/2013,Age of Empires II,1000,1,1
4/1/2013,Super Street Fighter IV Arcade Edition,960,19,6
4/1/2013,Ultimate Marvel vs. Capcom 3,800,12,5
4/1/2013,TrackMania Nations Forever,765.07,8,1
4/1/2013,Street Fighter X Tekken,730,20,8
4/1/2013,WarCraft III,521.16,3,4
4/1/2013,FIFA 13,521,3,4
4/1/2013,Injustice: Gods Among Us,375,6,2
4/1/2013,StarCraft: Brood War,299,9,3
4/1/2013,TrackMania 2: Stadium,226.91,3,1
4/1/2013,Tekken Tag Tournament 2,180,6,3
4/1/2013,King of Fighters XIII,0,6,1
4/1/2013,Mortal Kombat 9,0,4,1
4/1/2013,Persona 4 Arena,0,1,1
5/1/2013,StarCraft II,146353.52,87,32
5/1/2013,Turbo Racing League,125000,6,2
5/1/2013,Dota 2,99589.92,97,10
5/1/2013,League of Legends,58834.46,111,20
5/1/2013,Counter-Strike: Global Offensive,41123.31,126,16
5/1/2013,FIFA 13,27836.23,8,6
5/1/2013,Call of Duty: Black Ops 2,22274.74,20,4
5/1/2013,Super Street Fighter IV Arcade Edition,18502.62,19,10
5/1/2013,Heroes of Newerth,15500,46,3
5/1/2013,StarCraft: Brood War,10872.24,22,4
5/1/2013,Tekken Tag Tournament 2,6620,12,7
5/1/2013,WarCraft III,6427.27,13,7
5/1/2013,Ultimate Marvel vs. Capcom 3,3050,7,6
5/1/2013,Halo 4,3000,4,1
5/1/2013,Injustice: Gods Among Us,2785,16,11
5/1/2013,CrossFire,2173.58,31,5
5/1/2013,TrackMania 2: Canyon,1427.78,3,1
5/1/2013,Super Smash Bros. Melee,1097,22,7
5/1/2013,Super Smash Bros. Brawl,821.94,17,4
5/1/2013,Street Fighter X Tekken,805,15,11
5/1/2013,Project M,520,15,4
5/1/2013,ShootMania Storm,518.69,3,4
5/1/2013,King of Fighters XIII,500,3,1
5/1/2013,Persona 4 Arena,500,3,1
5/1/2013,Age of Empires III,375.85,4,1
5/1/2013,BlazBlue: Continuum Shift Extend,0,3,1
5/1/2013,Mortal Kombat 9,0,3,1
6/1/2013,League of Legends,795757.08,296,36
6/1/2013,StarCraft II,547093.98,239,59
6/1/2013,Turbo Racing League,312500,10,5
6/1/2013,CrossFire,182445.28,109,7
6/1/2013,Counter-Strike: Global Offensive,149984.7,187,17
6/1/2013,Call of Duty: Black Ops 2,64521.82,58,4
6/1/2013,Dota 2,55753.35,80,7
6/1/2013,Counter-Strike Online,37776,15,1
6/1/2013,Heroes of Newerth,31378.91,40,3
6/1/2013,Halo 4,28500,17,3
6/1/2013,Super Street Fighter IV Arcade Edition,20058.58,33,9
6/1/2013,WarCraft III,10443.69,7,6
6/1/2013,FIFA 13,8415.9,13,6
6/1/2013,Ultimate Marvel vs. Capcom 3,3890,21,5
6/1/2013,Super Smash Bros. Melee,3690.61,32,7
6/1/2013,Injustice: Gods Among Us,3555,29,9
6/1/2013,Divekick,2300,8,1
6/1/2013,Quake Live,1881.63,9,2
6/1/2013,Super Smash Bros. Brawl,1298.78,15,3
6/1/2013,Tekken Tag Tournament 2,1200,14,5
6/1/2013,Street Fighter X Tekken,1040,14,4
6/1/2013,StarCraft: Brood War,859.8,13,5
6/1/2013,Project M,819.48,10,2
6/1/2013,ShootMania Storm,656.89,3,5
6/1/2013,Persona 4 Arena,540,3,1
6/1/2013,Age of Empires,440,8,1
6/1/2013,King of Fighters XIII,440,3,1
6/1/2013,Super Smash Bros.,410,6,1
6/1/2013,Mortal Kombat 9,310,3,1
6/1/2013,Soul Calibur V,310,3,1
6/1/2013,Skullgirls,300,3,1
7/1/2013,Turbo Racing League,562500,6,2
7/1/2013,Dota 2,425214,195,18
7/1/2013,League of Legends,265527.39,187,25
7/1/2013,StarCraft II,176737.23,192,51
7/1/2013,Call of Duty: Black Ops 2,71052.57,36,5
7/1/2013,Counter-Strike: Global Offensive,40093.04,126,12
7/1/2013,Super Street Fighter IV Arcade Edition,18936,24,12
7/1/2013,Point Blank,15000,20,1
7/1/2013,Ultimate Marvel vs. Capcom 3,14345,18,7
7/1/2013,Halo 4,10500,13,3
7/1/2013,Super Smash Bros. Melee,7965,29,8
7/1/2013,Heroes of Newerth,7788.74,46,7
7/1/2013,Injustice: Gods Among Us,7575,19,11
7/1/2013,Street Fighter X Tekken,6055,15,5
7/1/2013,King of Fighters XIII,4400,11,2
7/1/2013,Tekken Tag Tournament 2,4160,14,6
7/1/2013,Persona 4 Arena,4000,8,1
7/1/2013,SMITE,3500,5,1
7/1/2013,Mortal Kombat 9,2330,8,1
7/1/2013,CrossFire,2173.58,42,5
7/1/2013,Quake Live,1624.27,5,4
7/1/2013,ShootMania Storm,1618.54,6,5
7/1/2013,Super Smash Bros. Brawl,1615,20,7
7/1/2013,Team Fortress 2,1323.1,18,1
7/1/2013,TrackMania 2: Stadium,1295.1,3,1
7/1/2013,StarCraft: Brood War,745.12,6,3
7/1/2013,WarCraft III,523.17,2,4
7/1/2013,FIFA 13,523.12,2,4
7/1/2013,Project M,360,12,3
8/1/2013,Dota 2,2903395.79,95,7
8/1/2013,StarCraft II,832927.37,296,51
8/1/2013,League of Legends,662851.99,340,36
8/1/2013,Counter-Strike: Global Offensive,72234.63,242,14
8/1/2013,Call of Duty: Black Ops 2,28490.41,38,6
8/1/2013,Quake Live,25158.49,20,5
8/1/2013,Team Fortress 2,21597.12,49,3
8/1/2013,SMITE,19972.38,20,1
8/1/2013,Heroes of Newerth,19638.48,69,8
8/1/2013,Halo 4,4674.46,16,1
8/1/2013,S.K.I.L.L. - Special Force 2,4054.33,10,1
8/1/2013,Ultimate Marvel vs. Capcom 3,3708.67,23,6
8/1/2013,Super Smash Bros. Melee,3578.67,30,9
8/1/2013,Tekken Tag Tournament 2,3070.86,9,5
8/1/2013,Street Fighter IV,2440,16,1
8/1/2013,Super Street Fighter IV Arcade Edition,2408.67,16,9
8/1/2013,CrossFire,2173.58,31,5
8/1/2013,StarCraft: Brood War,1489.49,9,3
8/1/2013,Injustice: Gods Among Us,1206.89,16,9
8/1/2013,Doom II: Hell on Earth,1000,1,1
8/1/2013,Super Smash Bros. Brawl,984.03,14,5
8/1/2013,FIFA 13,665.75,5,5
8/1/2013,WarCraft III,665.49,3,5
8/1/2013,ShootMania Storm,399.47,2,3
8/1/2013,Street Fighter X Tekken,215,6,4
8/1/2013,Dragon Ball Z: Budokai 3,204.06,3,1
8/1/2013,Project M,200,13,4
8/1/2013,King of Fighters XIII,170,5,2
8/1/2013,Soul Calibur V,95,9,1
8/1/2013,Divekick,60,4,2
9/1/2013,Halo 4,3.00E+05,8,1
9/1/2013,League of Legends,202247.85,158,30
9/1/2013,StarCraft II,72342.95,121,39
9/1/2013,World of Tanks,63000,25,2
9/1/2013,Counter-Strike: Global Offensive,59921.9,149,21
9/1/2013,Heroes of Newerth,42414.97,85,5
9/1/2013,Dota 2,37813.44,82,13
9/1/2013,SMITE,20000,0,1
9/1/2013,Call of Duty: Black Ops 2,18514.8,34,7
9/1/2013,Super Street Fighter IV Arcade Edition,16063.13,38,11
9/1/2013,Age of Empires II,9776,51,2
9/1/2013,CrossFire,5568,33,6
9/1/2013,WarCraft III,3590.98,14,5
9/1/2013,Super Smash Bros. Melee,2610.26,31,7
9/1/2013,Ultimate Marvel vs. Capcom 3,2430,17,5
9/1/2013,Injustice: Gods Among Us,1995,25,8
9/1/2013,StarCraft: Brood War,1717.52,6,2
9/1/2013,Quake Live,1690.79,16,1
9/1/2013,FIFA 13,1628.01,4,3
9/1/2013,Tekken Tag Tournament 2,1305,21,6
9/1/2013,Team Fortress 2,850,11,1
9/1/2013,FIFA 14,267.1,2,2
9/1/2013,Super Smash Bros. Brawl,205,7,3
9/1/2013,Project M,140,8,3
9/1/2013,Super Smash Bros.,81,1,1
9/1/2013,Street Fighter X Tekken,40,17,3
9/1/2013,Dead or Alive 5 Ultimate,0,8,1
9/1/2013,King of Fighters XIII,0,15,2
9/1/2013,Persona 4 Arena,0,8,1
9/1/2013,Soul Calibur V,0,8,1
10/1/2013,League of Legends,2194058.98,236,29
10/1/2013,StarCraft II,592577.89,217,48
10/1/2013,Call of Duty: Black Ops 2,111845.77,64,9
10/1/2013,World of Tanks,1.00E+05,0,1
10/1/2013,Counter-Strike: Global Offensive,88777.63,262,22
10/1/2013,Dota 2,64237.32,50,6
10/1/2013,Heroes of Newerth,42309.01,75,8
10/1/2013,iRacing.com,32000,10,2
10/1/2013,Counter-Strike Online,25000,15,1
10/1/2013,Point Blank,18000,20,1
10/1/2013,WarCraft III,7898.45,7,5
10/1/2013,Super Smash Bros. Melee,6660.78,52,18
10/1/2013,Defense of the Ancients,5955.02,0,1
10/1/2013,Project M,2957,27,8
10/1/2013,CrossFire,2173.58,32,5
10/1/2013,StarCraft: Brood War,1948.11,9,3
10/1/2013,Super Street Fighter IV Arcade Edition,1795,14,9
10/1/2013,TrackMania 2: Stadium,1603,7,2
10/1/2013,Super Smash Bros. Brawl,957,18,6
10/1/2013,Injustice: Gods Among Us,655,11,6
10/1/2013,Ultimate Marvel vs. Capcom 3,550,7,4
