id,Name,Writer,Likes,Genre,Rating,Subscribers,Summary,Update,Reading Link
84,Thornstone,Taejun Pak / SW Jeon,"2,16,838",Fantasy,9.06,76.3K,"Powerful and headstrong, Iris is a young girl who commands magical powers that most of us would only dream about. But if her grandfather has his way, those mystical skills will be used to do little more than maintain a successful goldsmith shop in their tiny village. However, when war approaches their doorstop, Iris knows it is her destiny to help join the cause, and satisfy her urge to accomplish great things with her considerable gifts.",UP EVERY FRIDAY,https://www.webtoons.com/en/drama/my-life-as-a-loser/list?title_no=3114
85,Her Bucket List,Vicente Miranda,"5,07,131",Romance,9.72,308.6K,"Rari's entire world falls apart when her boyfriend dies. Overwhelmed with the pain of losing the love of her life, she decides to go through the bucket list they made together before joining him in death. Things take an unexpected turn when fate links her to Hansol, her neighbor who has a painful story of his own. The two embark on a journey to heal their wounds and learn there is more to life than trauma and heartbreak.",COMPLETED,https://www.webtoons.com/en/fantasy/thornstone/list?title_no=1612
86,To Be Ordinary!,Yellow sheep / So-p,"9,49,502",Drama,9.07,18.4K,"Due to his prosopagnosia, Sang struggles with maintaining a normal school life. It's hard to make friends when everyone's face looks like an eggâ€¦ literally. There's only one person he can recognize -- Ujeong, a mysterious girl who seems to struggle with fitting in herself. In their pursuit to be ""ordinary"", these two high-schoolers forge an unexpected friendship.",UP EVERY SATURDAY,https://www.webtoons.com/en/romance/her-bucket-list/list?title_no=2564
87,Dark Mortal,Jeonyeok Lee,1M,Drama,9.79,209.3K,"Being called a freak isn't so bad when you have a spunky little black blob as a companion. An explosion leaves Nam Kang orphaned, scarred, and nearly blind, but he toughs out the daily bullying with the help of his imaginary blob friend, Inky. Until one day, Nam wakes from a bad beating to find his scars healed and his vision restored. At a new school, Nam is finally given the chance to live life as a normal kid. But it isn't just his scars that have disappeared. His best friend Inky is gone, too.",COMPLETED,https://www.webtoons.com/en/drama/dark-mortal/list?title_no=2505
88,Bastard,Carnby Kim / Youngchan Hwang,7M,Thriller,9.87,1.5M,There is a serial killer in my house!,COMPLETED,https://www.webtoons.com/en/thriller/bastard/list?title_no=485
89,Behind the Curtain,dagwa,"1,37,416",Romance,8.41,99.4K,"Juyeon has a crush on the new recruit to the theater club, Sol. Things seem to be going well until Juyeon's ex girlfriend, Minkyeong, joins the club and approaches Juyeon with questionable intentions. As if running into Minkyeong wasn't enough, the trio are asked to perform in a play, ""The Maids"" by Jean Genet, for the annual theater club performance. Will Juyeon be able to unravel their tangled relationships and find love?",COMPLETED,https://www.webtoons.com/en/romance/behind-the-curtain/list?title_no=2858
90,A Good Day to be a Dog,Lee Hey,10M,Romance,9.84,1.2M,"Hana has made every effort to avoid an inevitable family curse... of turning into a dog after her first kiss. Worst of all, the only way for her to break the curse is to get a second kiss. How will that work when Hana's first kiss is with a guy who is deathly afraid of dogs?!",COMPLETED,https://www.webtoons.com/en/romance/a-good-day-tobe-a-dog/list?title_no=1390
91,SAVE ME,Big Hit Ent. / LICO,3.9M,Drama,9.87,2.1M,"Seven boys. Best friends. Their fates intertwined through the good times together, but also the tough times, as they have gone their separate ways and suffered greatly as a result. When all is almost lost for these boys, one is given a special chance to go back in time and help his friends fix the mistakes that led them down this path. He'll do anything to save them, but can he? Or is he too late?",COMPLETED,https://www.webtoons.com/en/drama/bts-save-me/list?title_no=1514
92,This Magical Moment,Yunhui Na,"4,52,501",Supernatural,9.38,142.5K,"Everyday life can be tough even at the best of times, and when you're a witch, an aspiring nun, or a former child actor, it gets a lot tougher! All Bakha, Minhyeok, Sara, and Sanghyeop want to do is live like everyone else and follow their dreams, but they are constantly confronted with prejudice and discrimination from those they encounter. Will they be able to show the world that despite their differences, people are all the same deep down?",COMPLETED,https://www.webtoons.com/en/supernatural/this-magical-moment/list?title_no=2563
93,Your Letter,Hyeon A Cho,1M,Drama,9.93,502.9K,"Sori is a special young girl - kind, caring and principled well beyond her years. Unfortunately, these are NOT the personality traits generally celebrated in middle school , especially Sori's, where she's bullied mercilessly for defending the defenseless until she herself becomes a target. To escape, she transfers to a new school where the same old problems begin to play out all over again , that is until a mysterious trail of letters leads Sori on a magical scavenger hunt through the hidden world that exists right below the surface of her new middle school. The mail trail is the work an anonymous guardian angel, whose mission seems to be to provide a soft landing for Sori at her new school. But who is this person? And why did he choose her? With each letter, secrets are revealed and bonds are formed - as Sori learns about friendship, flora, fauna and finding the good in people in this strange new environment.",COMPLETED,https://www.webtoons.com/en/drama/your-letter/list?title_no=1540
94,LUFF,Arechan,9M,Romance,9.31,1.2M,"Tired of dating apps that feel like they're in control of your love life? Then you better brace yourself for the not-too-distant future of LUFF, where a large worldwide conglomerate has created the ultimate romance-matchmaking-app. How powerful is LUFF? It just may determine every single aspect of your life.",COMPLETED,https://www.webtoons.com/en/romance/luff/list?title_no=1489
95,Days of Hana,Seokwoo,7.1M,Drama,9.77,1M,"Friends since childhood, Haru and Hana do not have a typical relationship -- Hana is human, and Haru is her werewolf who must protect her. Although werewolves are starting to have more rights, they are still seen as exotic beasts by society. As the two fall in love, what will be their fate?",COMPLETED,https://www.webtoons.com/en/drama/days-of-hana/list?title_no=1246
96,Where Tangents Meet,instantmiso,2.7M,Romance,9.74,1.1M,"As Landon and Rachelle venture into falling in love with one another, they hit ruptures in the road. The more they learn about each other, the more they discover about themselves in the midst of encountering jealousy, scandals, accidents, and misunderstandings. Despite the losses and hurt they face together, they reconcile and create an unbreakable bond that guides them not only into a stronger relationship, but also to self-acceptance.",COMPLETED,https://www.webtoons.com/en/romance/where-tangents-meet/list?title_no=421
97,My Dear Cold-Blooded King,lifelight,15.1M,Romance,9.72,1.9M,"Born a humble peasant, Kihara Mei has lived simply day by day as a merchant in the capitol, and never assumed things would change. But, one fateful day would change the course of her life, when faced with a deadly challenge against dangerous royal assassins. Now, with the eyes of the dreaded Blood King upon her, her life of simplicity would now become a tangled web of secrecy, deceit, and desire.",COMPLETED,https://www.webtoons.com/en/romance/my-dear-cold-blooded-king/list?title_no=961
98,Death's Game,LEE WONSIK / GGULCHAN,1.3M,Drama,9.75,306.8K,"He's perennially unemployed, his ex-girlfriend has moved on, and he's just lost all his life savings to a bitcoin scam. Burdened by societal pressures, Yijae Choi decides to take his own life. Insulted by his flippant attitude towards dying, Death comes to punish him with her game: he must experience death over and over again through 13 other lives. But if he can find a way to survive the imminent death coming for these lives, he gets to live out their lifetime. His life was a bust, but what about the lives of others?",COMPLETED,https://www.webtoons.com/en/drama/deaths-game/list?title_no=1265
99,The Golden Spoon,HD3,"1,65,712",Drama,9.07,52K,"Would you trade your poor but loving family for a life of riches? When Seungcheon gets his hands on a magical spoon that allows him to switch lives with his rich best friend, he thinks it's a no-brainer. But life-altering decisions are always accompanied by a sense of doubt, and with only three chances to change his mind, Seungcheon has to decide which of his two possible futures is worth keeping.",COMPLETED,https://www.webtoons.com/en/drama/the-golden-spoon/list?title_no=2565
100,Girls of the Wild's,HUN / ZHENA,6.9M,Action,9.57,813.8K,"Wild's High School, an all girls educational institute specializing in MMA, has a very special freshman enrolling this year. Jaegu, who fears women from being abandoned by his mother, is about to find out what girls are really all about in this action-packed school drama.",COMPLETED,https://www.webtoons.com/en/action/girls-of-the-wilds/list?title_no=93
101,Gourmet Hound,Leehama,11.3M,Drama,9.82,845.1K,"Lucy, a woman with an uncanny sense of taste and smell, discovers that her favorite restaurant has changed kitchen staff--and she does not know the identity of the chef whose cooking she's loved for years. When a lucky accident leads her to two former chefs at Dimanche, she decides that she will do her utmost to track down each of their old colleagues in order to rediscover that ""perfect taste"".",COMPLETED,https://www.webtoons.com/en/drama/gourmet-hound/list?title_no=1245
102,Dear X,VANZIUN,"6,32,714",Thriller,9.56,202.2K,"Ajin Baek is an actress at the top of her game. She has everything. She's a beautiful, award-winning actress, the public loves her, and she's about to announce that she's getting married. But on the night of the award ceremony, a news program exposes the darkness behind Ajin's glittery exterior. Just how far was Ajin willing to go to get to where she is now?",COMPLETED,https://www.webtoons.com/en/thriller/dearx/list?title_no=2503
103,House of Stars,saltacuentos / Lion Illustration,"8,06,795",Fantasy,9.8,223.8K,"Lily is an adventuresome girl who lives in a boring town where nothing ever happens, but when young girls who stray into the forest near her village begin to go missing, Lily is pulled into a dangerous quest - one that transports her to a strange world that exists right below her feet.",COMPLETED,https://www.webtoons.com/en/fantasy/house-of-stars/list?title_no=1620
104,Oh! Holy,Ahyun,8.2M,Romance,9.7,1.5M,"Who cares if you're invisible in high school when you can see and talk to the invisible? Reserved and quiet, Jamie Oh prefers to remain in the background and confide only in his friends, who happen to be ghosts. But when the most popular girl in school takes interest in him, his normal -- or rather, paranormal -- life takes an unexpected turn.",COMPLETED,https://www.webtoons.com/en/romance/oh-holy/list?title_no=809
105,My Boo,Jeongseo,2.8M,Supernatural,9.75,864.6K,When you have an invisible roommate.,COMPLETED,https://www.webtoons.com/en/supernatural/my-boo/list?title_no=1185
106,Late Bloomer,zealforart,"7,25,410",Romance,9.27,319K,"Meet Mai, a woman born with a flower bud growing from her belly. The rare condition, Botanical Development has followed her from childhood into adulthood. In order to rid the bud it has to bloom and be deflowered. But the bud will only bloom once Mai has found a mate. Unfortunately Mai is awkward and inexperienced when it comes to the dating world. Join this eccentric twenty-six year old on her journey to becoming deflowered in Late Bloomer.",COMPLETED,https://www.webtoons.com/en/romance/late-bloomer/list?title_no=988
107,Cheese in the Trap,Soonkki,8.7M,Drama,9.71,1M,"After returning to college from a long break, model student Seol finds herself caught up with Jung, a senior who's also known as Mr. Perfect. Seol feels like her life took a turn for the worse since Jung came into her life... but is he intentionally turning her life upside down?",COMPLETED,https://www.webtoons.com/en/drama/cheese-in-the-trap/list?title_no=99
108,Yuna & Kawachan,Lauren Schmidt,1.7M,Drama,9.73,205.4K,"When monsters descend upon their hometown, two best friends - a school girl abandoned by her family and a mascot with PTSD - must work together to survive the apocalypse.",COMPLETED,https://www.webtoons.com/en/drama/yuna-and-kawachan/list?title_no=1840
109,Dragnarok,KPJ / Magmi,"4,31,383",Fantasy,9.48,354.8K,"Dragnarok is a fantasy story set in Aradel, the world where humans and dragons used to live together in peace and harmony.",COMPLETED,https://www.webtoons.com/en/fantasy/dragnarok/list?title_no=1018
110,SHADOW,yunuji / haejin,"1,71,129",Superhero,9.42,168.1K,Have you ever thought about who cleans up the mess that the heroes made from the fighting? SHADOW (Super Human Assistance Department Office Worker) is now here to clean up the mess!,COMPLETED,https://www.webtoons.com/en/super-hero/shadow/list?title_no=281
111,Assassin Roommate,Monica Gallagher,3.6M,Romance,9.28,869.3K,"A nerdy, introverted gal and an extroverted, former frat guy move into an apartment together after college -- it's a win-win situation for two people who want nothing to do with one another",COMPLETED,https://www.webtoons.com/en/romance/assassin-roommate/list?title_no=1050
112,Scorching Romance,Hongchi,5.1M,Romance,9.7,589.7K,"Her blood runs hot, and her temper is even hotter , even when it's the cold of winter. To lift the flaming curse she's carried since she was a little girl, high schooler Ember must find her cold equivalentâ€¦ But finding a match whose blood runs as cold as her's does hot isn't going to be easy, especially when the only way to turn the powerful curse away is to KISS that person right on their frigid lips. High school dramas usually run hot-and-cold, but there's never been a story as fun and fiery as Scorching Romance!",COMPLETED,https://www.webtoons.com/en/romance/scorching-romance/list?title_no=1662
113,Hooky,MÃ­riam Bonastre Tur,9M,Fantasy,9.8,814.2K,"Dani and Dorian have missed the bus of the school of magic. Now, they must find someone who teach them how to be a great and good witches... Or maybe not.â€‹",COMPLETED,https://www.webtoons.com/en/fantasy/hooky/list?title_no=425
114,Taste of Illness,Ilkwon Ha,"5,19,225",Drama,9.84,144.4K,"Not having any friends is bad enough, but being swallowed by mysterious black sludge in the middle of class? The worst. Yijun is no stranger to solitude, until a school project plants the seed for a delicate bond with another loner, Suni. But friendship is a frustrating puzzle for those who are used to being alone, especially when one of them claims to control a black goo that only turns hostile when the host is gripped by anxiety. Will Yijun and Suni be able to open up and make something of their budding friendship?",COMPLETED,https://www.webtoons.com/en/drama/taste-of-illness/list?title_no=2506
115,Cherry Blossoms,Subong Park,"1,37,397",Romance,9.23,149.4K,The girl that you keep thinking of when it blossoms. Regretting not having been able to express your true feelings to her a year ago. Should have had the courage to hold her hands.,COMPLETED,https://www.webtoons.com/en/romance/cherry-blossoms/list?title_no=1005
116,Friday: Forbidden Tales,Bae Jin-Soo,"4,49,802",Thriller,9.16,157.5K,"Every Friday, forbidden tales will be revealed.",COMPLETED,https://www.webtoons.com/en/thriller/friday/list?title_no=388
117,Life Outside the Circle,H-P Lehkonen,"9,39,184",Drama,9.38,199K,The heartwarming tale of two men who find love in the Finnish countryside.,COMPLETED,https://www.webtoons.com/en/drama/life-outside-the-circle/list?title_no=1260
118,Winter Woods,COSMOS / VAN.J,3.6M,Drama,9.81,731.3K,"A few thousand years have passed since an alchemist created Winter. Winter begins living with Jane, a writer, in exchange for telling her his story. From their interactions, Winter begins to learn the meaning of being human, and without realizing it, Jane begins to see a man who has changed her life in more ways than she could imagine.",COMPLETED,https://www.webtoons.com/en/drama/winter-woods/list?title_no=344
119,ShootAround,suspu,1.5M,Drama,9.68,155.1K,"When a zombie apocalypse hits during the practice of a high school basketball team, it's a whole new life for the coach, Jeff. The world's turned upside down and the girls seem to be handling the changes way better than Jeff, who has troubles adjusting. A close-knit group of friends, the girls are eager to tackle this new world with its challenges!",COMPLETED,https://www.webtoons.com/en/drama/shoot-around/list?title_no=399
120,Annarasumanara,Ilkwon Ha,"7,53,985",Drama,9.74,277.3K,"When she was little, Yun Ai dreamed of becoming a magician. But in reality, she's just a high school student who can't even afford new socks. After meeting a mysterious magician at a carnival, she decides to follow her dream.",COMPLETED,https://www.webtoons.com/en/drama/annarasumanara/list?title_no=77
121,Yumi's Cells,Donggeon Lee,16.8M,Slice of life,9.77,574.6K,A story of Yumi and her brain cells.,COMPLETED,https://www.webtoons.com/en/slice-of-life/yumi-cell/list?title_no=478
122,The Strange Tales of Oscar Zahn,Tri Vuong,1M,Fantasy,9.78,318.2K,"Follow the journey of the world's greatest paranormal investigator - Oscar Zahn. Friend to lost souls, enemy of evil, he may lack a body but that doesn't mean he's missing a heart!",COMPLETED,https://www.webtoons.com/en/fantasy/the-strange-tales-of-oscar-zahn/list?title_no=685
123,Ghost Theater,LICO,2M,Drama,9.78,390.5K,The shock of a tragic accident leaves talented actress Rahee Ku unable to make facial expressions. Her acting career seems hopeless... until she discovers the mysterious Ghost Theater.,COMPLETED,https://www.webtoons.com/en/drama/ghost-theater/list?title_no=1911
124,Big Jo,Jungle Julia,5.4M,Romance,9.19,553.3K,"Jo doesn't take crap from no one. 
 
 Being fat as a teenager isn't easy, even when you know you're awesome. Watch as the clever Joan Rodriguez deals with school, bullies and all those people trying to change her.",COMPLETED,https://www.webtoons.com/en/romance/big-jo/list?title_no=854
125,American Road Trip,Patrick Flores-Scott / Little Corvus,"3,26,792",Drama,9.61,102K,"Ever since his brother left to serve in Iraq, Teodoro ""T"" Avila's life has been in the pits, until he runs into the girl of his dreams and realizes there might be more to life than video games. But when Manny returns home an utterly different person, it's a bombshell for the Avilas that leaves T shell-shocked. Determined to impress Wendy and in denial of his brother's condition, T doubles down on his studies, only to be hoodwinked into a road trip by Xochitl. With nothing but the road ahead of them, how much will T and Xo need to sacrifice to help save Manny from himself before it's too late?",COMPLETED,https://www.webtoons.com/en/drama/american-road-trip/list?title_no=2209
126,Salty Studio,OMYO,"9,99,845",Romance,9.69,316.1K,"Togeun quits his job at his dad's company and moves out of his parent's house to pursue his new purpose in life, drawing! Except... he doesn't actually know how to draw. When he discovers the artist whose work he had been admiring is his old classmate Sonagi, Togeun begs her to teach him how to draw in exchange for giving her a place to work. Thus begins the cohabitation of two unlikely friends.",COMPLETED,https://www.webtoons.com/en/romance/salty-studio/list?title_no=74
127,The Stories of Those Around Me,OMYO,"8,19,435",Romance,9.66,239.1K,"Summer is happily in love; Mira is a beautiful and successful woman but doesn't have a boyfriend; Jung-A lives with her boyfriend for 5 years. These 25-year-old girls are very close and believe in that they can keep thier friendship and love forever. However, everything changed after Mira's blind date.",COMPLETED,https://www.webtoons.com/en/romance/the-stories-of-those-around-me/list?title_no=96
128,Kids Are All Right,HP56,"3,38,708",Drama,9.74,76.1K,"This story tells you the value and importance of family; it will also remind you of the happiness and sadness, joys and sorrows of childhood.",COMPLETED,https://www.webtoons.com/en/drama/kids-are-all-right/list?title_no=283
129,THE GIRL FROM CLASS,Subong Park,"3,24,180",Drama,9.46,109.6K,"Sometimes love can blossom from a single glance. This is the bittersweet, sometimes embarrassing, but always beautiful story of a classroom crush.",COMPLETED,https://www.webtoons.com/en/drama/the-girl-from-class/list?title_no=73
130,Spirit Fingers,han kyoung chal,4.8M,Drama,9.91,286.2K,"What do you do if you're going on 18, totally awkward and lacking in self- confidence? You could just sit in your room all day and all night and study and wonder why you never get asked outâ€¦OR, if you're Amy Song you could join up with the Spirit Fingers , the strangest, hippest, coolest (yet most welcoming) art club ever. But as Amy is about to learn, discovering your TRUE colors is about more than just painting.",COMPLETED,https://www.webtoons.com/en/drama/spirit-fingers/list?title_no=1577
131,Magic Soda Pop,RaÃºl Trevino,"6,31,907",Supernatural,8.86,146.4K,"These sodas will give you more than just a sugar high -- they're full to the brim with magical powers! When Alaina discovers they can give her a boost in school, one sip is just too good to resist. But one drink leads to another, and soon she's on a slippery slope to unintended consequences. Can Alaina get herself dry, or will she lose everything to the fizzy feeling of magic soda pop?",COMPLETED,https://www.webtoons.com/en/supernatural/magic-soda-pop/list?title_no=1947
132,God of Bath,Ilkwon Ha,"2,79,266",Comedy,9.51,117.3K,"To escape from a loan shark hunting him down, 23-year-old Heo Se runs straight into a mysterious and luxurious public bathhouse. After a strange twist of fate, he ends up working as a massage scrubber and has to fight to be the last scrubber standing. Let the battle to become the best scrubber... begin!",COMPLETED,https://www.webtoons.com/en/comedy/god-of-bath/list?title_no=91
133,WEBTOON GREENLiGHT,WEBTOON / Various Artists,3.2M,Fantasy,9.61,775.2K,"You choose the next Original! Every Friday a new series will be released. If the third episode of any series receives 60,000 likes by the following Thursday at 5 pm PDT then it will be greenlit and will become a full-length Original series.",COMPLETED,https://www.webtoons.com/en/fantasy/webtoon-greenlight/list?title_no=1988
134,Under the Aegis,VIMEDDIEE,"5,32,294",Fantasy,9.76,87.5K,"This is a story about the struggle for peace and the search for something precious that has been lost for over a thousand years. Six young people, with the help of the ancient weapons that chose them, must work together to solve a millennial mystery before they too become lost.",COMPLETED,https://www.webtoons.com/en/fantasy/under-the-aegis/list?title_no=436
135,About Death,Sini / Hyeono,"3,58,952",Drama,9.83,127.5K,"At the border between life and death, someone is waiting for you... ""How would I had time to think about death when I haven't yet figured out life...?"" About Death is a collection of poignant conversations on the inevitable rhythm of life and loss.",COMPLETED,https://www.webtoons.com/en/drama/about-death/list?title_no=82
136,The Weight of Our Sky,Hanna Alkaf / Nisrina A.N.,1.1M,Historical,9.79,251.9K,"A music loving teen with OCD does everything she can to find her way back to her mother during the historic race riots in 1969 Kuala Lumpur, Malaysia.
 
 (Based on the YA novel by Hanna Alkaf.)",COMPLETED,https://www.webtoons.com/en/historical/the-weight-of-our-sky/list?title_no=1739
137,Ctrl+Z,MiTi,"6,31,565",Thriller,7.81,192.6K,"What if you had the power to erase people's memories? Would you use it to help those in need? Or would you use it to become the most powerful person in the world? For Kyle, this newfound power was going to change his life... for better or for worse.",COMPLETED,https://www.webtoons.com/en/thriller/ctrlz/list?title_no=2141
138,Aisopos,Yangsoo Kim / Dogado,"2,60,167",Drama,9.72,55.1K,"When his parents' love affair draws the ire of a powerful ruler in Ancient Greece, a young Aesop is taken away to become a slave under one of the most powerful men in the city. You know his fables, but do you know his story?",COMPLETED,https://www.webtoons.com/en/drama/aisopos/list?title_no=76
139,Subtle Disaster,SUNGHO AN,"1,75,363",Drama,9.4,45.2K,"A webtoon writer, Songshin Ha, lives in the apartment, at the top of the hill, that has serious problem with neighbor's noise;
 and he desperately wants to solve the problem with his neighbors.",COMPLETED,https://www.webtoons.com/en/drama/subtle-disaster/list?title_no=350
140,Witch Hunt,SSO PARK,"9,47,855",Supernatural,9.5,258K,"At the first day of his school, Gamin saw something that he shouldn't have seen and from that day, his previously witch-less life became double double toiled and troubled.",COMPLETED,https://www.webtoons.com/en/supernatural/witch-hunt/list?title_no=363
141,Cupid's Arrows,Thomas F. Zahler,"4,85,243",Romance,9.26,93.3K,"When Rick and Lora say they've been colleagues for a long time, they mean it. For over 200 years, these partners have roamed the mortal world as real-life cupids , magic-wielding foot soldiers on the battlefront of love. Now it's the 21st century, and Rick and Lora are facing their most challenging case ever: bringing together a Type-A, career-driven woman and a former football player-cum-barista who couldn't be more different. The pair is perfect for each other (even if they don't know it yet) so the cupids will have to make sure their love arrows land, and do it all while they face their own unrequited feelings for one another. Will love win the day? Read on and see!",COMPLETED,https://www.webtoons.com/en/romance/cupids-arrows/list?title_no=1538
142,Gepetto,Jewon Yeon,"6,83,414",Sci-fi,9.78,162.5K,"A hundred years ago, the genius inventor behind androids, Professor Gepetto, left behind a mysterious inheritance. After the war between humans and androids has ravaged the planet, androids start to break down and run out of time, while humans are struggling to survive in the lifeless wasteland that is Earth. A single blue-haired android left behind in the Professor's estate may be the key to solving the crises as decades-old plans are finally set into motion.",COMPLETED,https://www.webtoons.com/en/sf/gepetto/list?title_no=81
143,Heroine Chic,David Tischman / Audrey Mok,"9,03,057",Superhero,8.93,275.5K,Zoe Porter isn't a superhero. She doesn't have super powers. But she is going to be the hero of her own life - and she's going to do it with style!,COMPLETED,https://www.webtoons.com/en/super-hero/heroine-chic/list?title_no=561
144,FAMILY MAN,Pillwon Jung,"1,19,309",Drama,9.71,34.6K,"Gang-ho is a laborer at the local factory, sleeping just 3 hours a day and working like a horse. But when his face is burned in an accident at work, he's left unemployed. Scared of his daughter's reaction to his burns, Gang-ho decides to transform into the superhero, Gugu-Man!",COMPLETED,https://www.webtoons.com/en/drama/family-man/list?title_no=85
145,Faust,Arechan,"5,75,454",Supernatural,7.98,83.7K,"Your soul is the most valuable asset you own, and even if you don't want it, there are others who will gladly take it off your hands. This could happen to anyone, but we will follow the story of Gabriel, a young adult who, in his darkest hour, may have found a good use for the soul he didn't want any longer.",COMPLETED,https://www.webtoons.com/en/supernatural/faust/list?title_no=522
146,Haxor,Walter Ostlie,"1,91,244",Sci-fi,9.11,90.5K,"The internet has been replaced by The Frame, a hyper-fast network of instant connection and accessibility. There's no way that'll go wrong, right?",COMPLETED,https://www.webtoons.com/en/sf/haxor/list?title_no=1325
147,Power Ballad,Molly Brooks,"1,00,792",Superhero,9.14,37.6K,"As personal assistant to an international pop star, Meera Verma has her hands full trying to keep the gorgeous and talented Carina Peterson primped, polished, and mostly on time. As personal assistant to a Los Angeles-based masked vigilante, Meera has her hands full repairing body armor, stitching up knife wounds, and generally doing everything in her power to keep the mysterious and reckless Skeleton alive and out of trouble.
 Carrie's just trying to make some music and fight some crime.",COMPLETED,https://www.webtoons.com/en/super-hero/power-ballad/list?title_no=987
148,Heartwired,Rod Hannah / stratosmacca,"2,04,219",Sci-fi,9.18,123.4K,"Plenty of teenagers would kill for a chance to leave Earth behind and journey to Mars. But for Cal, that situation is pretty much reversed. One of only seven people ever born on the Red Planet, Cal dreams of returning to the homeland of his parents where, despite its many flaws, he can be free to live life his way. But Cal's plan of getting back to Earth may have to be put on hold, as an unknown presence threatens the very existence of the boy, his family and everyone who now calls Mars their home.",COMPLETED,https://www.webtoons.com/en/sf/heartwired/list?title_no=1539
149,Magical 12th Graders,seri / Biwan,"5,39,393",Superhero,9.32,147.2K,"After the death of her older sister, Yeorum Han enters her final year of high school. But when a nap in class runs long, she wakes up to find her biology teacher and best friend in cosplay... fighting monsters?! Faced with death, Yeorum chooses the path of a magical girl, and resolves to find out the truth behind her sister's suicide.",COMPLETED,https://www.webtoons.com/en/super-hero/magical-12th-graders/list?title_no=90
150,Davinchibi,Camilla d'Errico / Stephen W. Martin,"75,414",Fantasy,8.87,71K,A young Leonardo Da Vinci and his childhood friends discover learning to fly takes a little magic.,COMPLETED,https://www.webtoons.com/en/fantasy/davinchibi/list?title_no=1190
151,New Normal: Class 8,Youngpaka,2.7M,Drama,9.52,231.9K,"The students of Class 8 may not look like your average students, but that doesn't make their lives any less interesting. Follow Dongwon and his classmates as they have fun at school and redefine what it means to be normal.",COMPLETED,https://www.webtoons.com/en/drama/new-normal-class-8/list?title_no=100
152,Westwood Vibrato,Inwan Youn / Sunhee Kim,"1,83,174",Drama,9.66,58.1K,There's a story behind every song and every instrument that plays them. Heart-warming dramas unfold at this musical instrument repair shop in South Africa.,COMPLETED,https://www.webtoons.com/en/drama/westwood-vibrato/list?title_no=537
153,Metaphorical HER,James Maddox / David Stoll,"1,76,230",Drama,8.95,57.5K,"Humiliated and exiled, a poet builds an underground following within the ravenous rock scene through her enlightening poetry. Now, Laney and her friends fight against the white collar criminals who threaten their careers, all within a spectacle of visual metaphors.",COMPLETED,https://www.webtoons.com/en/drama/metaphorical-her/list?title_no=1475
154,Sithrah,Jason Brubaker,"2,58,609",Fantasy,9.48,49.4K,"Nirvana Page wanted to see the world. Traveling by private seaplane with her father on their annual vacation, together they explore exotic places and discover remarkable wildlife, and even if it's only for a few days, she gets everything a seven-year-old girl could hope for. That is, until a mysterious force crashes their plane, separating Nirvana from her dad, and stranding her in a strange and unfamiliar land. It's there she encounters SITHRAHâ€”a mysterious being who could hold the key to finding her fatherâ€”and begins a grand and perilous adventure that will bring her to the end of the world and beyond!",COMPLETED,https://www.webtoons.com/en/fantasy/sithrah/list?title_no=524
155,Caster,Common / Noble Transmission,"70,537",Action,9.03,47.4K,"â€‹CASTER - A world traveling rare antiquities dealer gets caught up in a world of espionage, but all he wants is his payday. A man of exotic taste, he is addicted to one thing: risk. However, to some, his appeal exists not because of his lifestyle, but because he truly cares about making sure the rare antiques he chases end up in the hands of a passionate buyer. He respects art and expects others to as well. No museums though. He needs to get paid!",COMPLETED,https://www.webtoons.com/en/action/caster/list?title_no=1461
156,2015: Space Series,Various Artists,"62,916",Sci-fi,9.27,56.2K,Collective Comic Essays on the Universe and Beyond,COMPLETED,https://www.webtoons.com/en/sf/2015-space-series/list?title_no=391
157,All That You Are,Brayden Sato,"95,069",Drama,9.23,44.8K,"Each day is a desperate struggle on the decaying streets of Kansai Core-IV, especially for Amelia and her newborn child. So when a citywide bounty is announced and $1000 given to every able-bodied citizen, she faces a difficult choice: Use the cash to survive another day or race against an entire city for the chance at a new life. Whichever path she chooses, her demons are sure to follow.",COMPLETED,https://www.webtoons.com/en/drama/all-that-you-are/list?title_no=403
158,Alice Elise,Nicky Soh,"1,32,588",Fantasy,8.95,61K,"On a visit to her grandparents' home, Alice falls through a mysterious door into Hell. In order to return to the world of the living, Alice must race against time to get to the center of Hell to return home. However, time may not be the only thing Alice is up against...",COMPLETED,https://www.webtoons.com/en/fantasy/alice-elise/list?title_no=1481
159,City of Walls,A.K. Lovelace / Shaun Noel,"19,366",Drama,7.39,18.6K,"Welcome to the prison-like city of Kowloon. A cluster of conjoined buildings run by gangs. Where the ability of an individual to hope is non-existent. Daniel, Jin, and Ariana are three kids who defy this life sentence. They intend to escape and are willing to go to extreme measures to do so. Since escape on foot is impossible, their quest leads them to the sky.",COMPLETED,https://www.webtoons.com/en/drama/city-of-wall/list?title_no=505
160,The World Where I Belong,GMOW,"9,13,509",Supernatural,9.59,317.3K,A high school student's attempt to end his life is interrupted by a strange girl with even stranger powers.,COMPLETED,https://www.webtoons.com/en/supernatural/the-world-where-i-belong/list?title_no=1318
