Country Name,Country Code,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
Tunisia,TUN,244800,308900,375100,485600,629600,782000,809300,855500,963000,1088800,978200,1140900,1209100,1258100,1254900,1281600,1054800,1203300,1210300,1315400,1313000,1201200,1249900,1351000,1390800,1419400,1371200,1779300,1859000,1922600,1907876,1926118,1789327,1719524,1940037,1996699,2054641,2054679,2274580,2278964,2739634,3153388.977,3580910.219,4648608,4628511,3496190,3606247,3963968,4274199,4335325,
Turkey,TUR,1035700,1476000,1774500,2222800,1795100,1777800,2427300,2751700,2221500,2458400,1253700,2071300,2094600,2233600,2575400,2508000,2721900,3260900,3497300,3792300,4337100,3160000,4958600,6076800,6871600,7749000,8463900,9379900,9949300,10097300,12187891,10603908,10686877,10745444,14275835,16943828,19361415,22895275,25505092,31339441,45665249,53500303,63350312,74413804.62,84574844,96604665,100366461,107917326,115595495.8,111028629,
Tuvalu,TUV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tanzania,TZA,171400,188000,196900,256800,282900,271700,310300,85700,192200,292300,387600,324800,401700,407100,498500,450900,441100,456100,410300,266800,292100,289700,216400,188500,199200,236400,224000,217800,220200,190000,193069,174559,134470,149540,243087,257223,189844,250849,202704,683541,750421,914932.0376,1030203.575,1173942.818,1124913.454,1312807,1179664,1221678,1698386,1498093,
Uganda,UGA,171500,188000,165500,52400,62700,57600,73800,,,,82600,62600,62200,75100,49500,35300,50000,46000,61000,116000,116000,26300,31600,77700,62500,94600,100200,100200,99800,179400,39379,40560,40560,39749,45711,49368,55292,59715,63160,64234,154909,141603,182144.4,198804,163824,41812,52187,14958,21212,19822.5,
Ukraine,UKR,,,,,,,,,,,,,,,,,,,,,,,4906200,1278000,604900,1005300,1151200,1189600,1066400,910100,950697,986022,1119889,1652632,2200094,2512910,2801992,1736018,3456288,3427818,3956053,5477654.918,5828107.612,5218814.574,4503610,4620530,5756509,6794396,7854842,7604522.332,
Upper middle income,UMC,,,,,35427900,39705400,44593600,47474300,51809400,60148400,64506500,67014200,68556800,69953600,73320200,77428600,83536700,89822000,95027500,94631500,104592400,232858100,184337300,165187700,174700000,185955700,191576600,198501000,197441600,208565400,222855141,235272686,248039092,252532938,307302135,335336484,366435138,414284141,441964196,490246593,614090152.5,678819783.9,746531605.1,831585242.6,904749523.3,997786079,1068089044,1179085134,1288616061,1365924917,
Uruguay,URY,219300,221300,136000,137700,346200,333600,326900,292900,259700,456100,477600,412600,356500,310400,338100,328500,340800,351300,385600,313100,318300,318300,430000,502900,499300,476700,504000,544000,556700,593400,642027,558563,525049,463884,564149,586458,568864,602996,612644,563632,,,,,,,,,,,
United States,USA,163448992,174143104,191325408,202309200,207612400,204900400,223017296,240144992,273025504,313624000,295329088,281086400,290992608,315600096,340191488,372059104,414554496,441832704,454202912,453161504,464574016,452015904,466964992,469926112,514924000,533512096,571072000,590571392,588170880,634364608,665327414,622187846,598410415,588997110,678110608,720547738,725530965,744302310,701779551,679423408,720497000,730796000,736699000,743171000,762710000,798222000,824039000,849403000,889024000,926737000,
Uzbekistan,UZB,,,,,,,,,,,,,,,,,,,,,,,4032500,2217300,2217300,2217300,1566200,1566200,1560200,1657600,1744510,2256380,1451004,1465798,1588049,1639276,1665190,1940378,2033933,1850056,2114050,2275947,2593509,2614085,2545935,2486673,2383631,2581865,3056558,3685192,
St. Vincent and the Grenadines,VCT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Venezuela, RB",VEN,1253300,1301600,1511000,1765900,1981500,2355200,2708400,3500600,4042700,4771700,5133300,5147000,5667200,5000200,4570800,4966500,5790900,6454100,8383800,10098800,6846800,6795200,7149400,6813900,5266800,4445000,4487400,4020300,3736600,4690000,4295000,9452434,6369455,3889929,4943887,5043028,5225573,5495292,5766973,5121009,6428163,7728281.254,7738509.645,6866780.599,7888722.399,7086072,6025475,4209158,2217407,1516839,
British Virgin Islands,VGB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Virgin Islands (U.S.),VIR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Vietnam,VNM,1525600,1051300,854400,664700,552600,165000,,,,,6000,27000,27000,11500,74000,84000,88000,87000,87800,88200,89000,198000,204200,1200000,1670000,2290000,2107500,2527300,2303500,2600000,2877894,3427176,4038133,3969320,5049706,5453683,5283831,7194443,9991145,11073604,14377619,16544477.83,16976051.38,20429309.91,23826013.27,29944771,37349272,42592762,47049671,53227026,
Vanuatu,VUT,,,,,,,,,,,,,16800,24600,16700,14400,15300,16600,18500,18500,18500,53000,59200,66700,70400,65600,72800,75000,88700,86000,101503,97471,104294,83151,103939,112254,116744,122581,120742,112169,247944,240396.4377,318747,327060,320232,272332,299315,341110,374603,466865.0531,
World,WLD,310441392,331604904,,401571800,421145200,432276500,471773396,513269292,576090004,648400600,641872888,640619400,654482108,685101596,732410288,783198104,842594296,904838104,953896012,983208800,1024976616,1133228204,1145436692,1142265216,1233233404,1302891640,1390963704,1455104192,1466961780,1562256300,1674064712,1655230214,1627404873,1665309283,1888695284,1969590799,2072413898,2209136496,2208218737,2249728546,2628261258,2786953830,2894054972,3048275073,3227291386,3466478485,3705101897,3973790463,4242447521,4396665797,
Samoa,WSM,,,,,,,,,,,,,,,,,,,,,,,,,,,270000,74900,148800,155500,164142,173479,182292,198115,246875,266625,287596,294927,290503,270908,,,,,76944,98950,116167,81921,77811,74867,
Kosovo,XKX,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Yemen, Rep.",YEM,25900,54500,57000,61500,66500,70000,262800,275000,295000,295000,310000,310000,352100,465900,455800,426200,589700,575500,635500,667900,671100,540500,800400,847900,790600,375000,587500,706900,765000,731000,841609,841366,869296,844284,1022079,1083404,1162316,1073493,1064878,1050486,1536556,1492073.329,1299707.239,1664220,1665552,443685,242723,132571,336310,,
South Africa,ZAF,1519000,1659500,1868100,2313800,2763600,2936400,2998800,3076800,3211200,3783700,4116000,4159800,4091200,3951800,4461400,4337300,3825000,4386900,5125900,5641500,5364900,4818600,4685000,5581500,5801600,6395500,7183100,7274200,6479500,7403800,8000757,7948374,8052660,9159815,9878598,11844657,12932671,12870324,13135437,12503629,15781210,16407784.96,17571565.2,16311250,17026643.22,18882898,19744932,20821044,24660386,25650178,
Zambia,ZMB,187800,214200,230100,230600,240600,232600,256800,299400,317100,295700,257400,278300,253100,236700,245600,253900,237700,257900,303500,365300,407200,292500,246000,219000,234700,,,49600,48800,77700,89628,48517,47075,50977,49888,53880,58679,61589,62467,,260502,306034.3,127296.65,10032,8592,203617,144060,154573,16633.13894,17505.68964,
Zimbabwe,ZWE,267400,291300,315000,340000,,,,,,,412300,535200,448600,449200,440700,453100,451500,459900,525100,583400,601300,740200,677900,594600,675300,625700,653700,790100,788900,651000,607976,308096,250532,200857,225021,243022,239045,254783,264404,261480,258828,279347.6184,320945.9998,351564,301260,370165,378803,282539,282539,,
